,anime name,anime_type,anime_aired,anime_members,anime_genres,anime_broadcast,anime_licensors,anime_favorites,anime_popularity,anime_score,link_to_anime_page,anime_scored_by
961,Zettai Karen Children,TV (51 eps),Apr 2008 - Mar 2009,"45,063 ","Action, Comedy, Supernatural",Sundays at Unknown,Sentai Filmworks,119,2990,7.301,https://myanimelist.net/anime/4038/Zettai_Karen_Children,"11,723"
962,Zoku Touken Ranbu: Hanamaru,TV (12 eps),Jan 2018 - Mar 2018,"27,835 ","Action, Comedy, Drama, Fantasy, Slice of Life",Mondays at 00:00 (JST),Funimation,137,3841,7.301,https://myanimelist.net/anime/34863/Zoku_Touken_Ranbu__Hanamaru,"7,686"
963,Boku wa Tomodachi ga Sukunai Next,TV (12 eps),Jan 2013 - Mar 2013,"511,747 ","Comedy, Romance, Ecchi",Unknown,Funimation,"1,203",383,7.301,https://myanimelist.net/anime/14967/Boku_wa_Tomodachi_ga_Sukunai_Next,"311,009"
964,Btooom!,TV (12 eps),Oct 2012 - Dec 2012,"820,159 ","Action, Sci-Fi",Thursdays at 23:00 (JST),Sentai Filmworks,"3,328",189,7.301,https://myanimelist.net/anime/14345/Btooom,"472,727"
965,Busou Renkin,TV (26 eps),Oct 2006 - Mar 2007,"167,500 ","Action, Fantasy, Supernatural",Thursdays at 01:00 (JST),VIZ Media,847,1269,7.301,https://myanimelist.net/anime/1536/Busou_Renkin,"78,799"
966,Danna ga Nani wo Itteiru ka Wakaranai Ken,TV (13 eps),Oct 2014 - Dec 2014,"335,152 ","Comedy, Romance",Fridays at 01:00 (JST),"None found, add some",809,632,7.291,https://myanimelist.net/anime/26349/Danna_ga_Nani_wo_Itteiru_ka_Wakaranai_Ken,"178,137"
967,Gamba no Bouken,TV (26 eps),Apr 1975 - Sep 1975,"3,916 ","Adventure, Suspense",Unknown,"None found, add some",29,8534,7.301,https://myanimelist.net/anime/5267/Gamba_no_Bouken,"1,210"
968,GJ-bu,TV (12 eps),Jan 2013 - Mar 2013,"168,960 ","Comedy, Slice of Life",Unknown,"None found, add some",740,1263,7.301,https://myanimelist.net/anime/14811/GJ-bu,"74,177"
969,Kamisama no Inai Nichiyoubi,TV (12 eps),Jul 2013 - Sep 2013,"213,686 ","Adventure, Fantasy, Mystery",Sundays at 01:30 (JST),Sentai Filmworks,870,1005,7.301,https://myanimelist.net/anime/16009/Kamisama_no_Inai_Nichiyoubi,"91,358"
970,Kazoku Robinson Hyouryuuki: Fushigi na Shima no Flone,TV (50 eps),Jan 1981 - Dec 1981,"6,237 ","Adventure, Drama, Slice of Life",Sundays at 19:30 (JST),"None found, add some",26,7129,7.301,https://myanimelist.net/anime/2544/Kazoku_Robinson_Hyouryuuki__Fushigi_na_Shima_no_Flone,"2,554"
971,Kurau Phantom Memory,TV (24 eps),Jun 2004 - Dec 2004,"29,898 ","Action, Drama, Sci-Fi",Unknown,"ADV Films, Funimation",136,3714,7.301,https://myanimelist.net/anime/483/Kurau_Phantom_Memory,"7,876"
972,Mahoraba: Heartful days,TV (26 eps),Jan 2005 - Jun 2005,"25,085 ","Comedy, Drama, Romance",Unknown,Discotek Media,103,4041,7.301,https://myanimelist.net/anime/519/Mahoraba__Heartful_days,"10,112"
973,Maria-sama ga Miteru,TV (13 eps),Jan 2004 - Apr 2004,"65,876 ","Drama, Girls Love",Thursdays at Unknown,"Nozomi Entertainment, Maiden Japan",667,2429,7.301,https://myanimelist.net/anime/158/Maria-sama_ga_Miteru,"20,695"
974,Mushibugyou,TV (26 eps),Apr 2013 - Sep 2013,"87,367 ","Action, Fantasy, Ecchi",Mondays at 18:00 (JST),Sentai Filmworks,182,2052,7.301,https://myanimelist.net/anime/17505/Mushibugyou,"33,755"
975,NG Knight Ramune & 40,TV (38 eps),Apr 1990 - Jan 1991,"3,503 ","Action, Adventure, Comedy, Fantasy",Fridays at 18:30 (JST),Discotek Media,25,8811,7.301,https://myanimelist.net/anime/2084/NG_Knight_Ramune___40,"1,009"
976,Onihei,TV (13 eps),Jan 2017 - Apr 2017,"38,883 ","Action, Drama",Tuesdays at 02:05 (JST),"None found, add some",102,3250,7.301,https://myanimelist.net/anime/33983/Onihei,"14,420"
977,Peace Maker Kurogane,TV (24 eps),Oct 2003 - Mar 2004,"56,086 ","Action, Comedy",Unknown,"ADV Films, Funimation",277,2667,7.301,https://myanimelist.net/anime/161/Peace_Maker_Kurogane,"22,894"
978,Shin Chou Kyou Ryo: Condor Hero,TV (26 eps),Apr 2001 - Oct 2002,"8,784 ","Adventure, Drama, Romance",Unknown,"None found, add some",32,6231,7.301,https://myanimelist.net/anime/959/Shin_Chou_Kyou_Ryo__Condor_Hero,"2,702"
979,Sousei no Onmyouji,TV (50 eps),Apr 2016 - Mar 2017,"485,220 ","Action, Fantasy, Romance",Wednesdays at 18:25 (JST),Crunchyroll,"2,861",402,7.301,https://myanimelist.net/anime/32105/Sousei_no_Onmyouji,"203,665"
980,Suite Precure♪,TV (48 eps),Feb 2011 - Jan 2012,"14,896 ","Action, Fantasy",Unknown,"None found, add some",115,5022,7.301,https://myanimelist.net/anime/9893/Suite_Precure%E2%99%AA,"5,774"
981,Tetsujin 28-gou (2004),TV (26 eps),Apr 2004 - Sep 2004,"5,046 ","Adventure, Drama, Sci-Fi",Unknown,"Discotek Media, Geneon Entertainment USA",38,7787,7.301,https://myanimelist.net/anime/2337/Tetsujin_28-gou_2004,"1,121"
982,Lupin III: Part III,TV (50 eps),Mar 1984 - Dec 1985,"20,733 ","Action, Adventure, Comedy",Unknown,Discotek Media,27,4386,7.291,https://myanimelist.net/anime/1426/Lupin_III__Part_III,"6,093"
983,Mahouka Koukou no Rettousei: Raihousha-hen,TV (13 eps),Oct 2020 - Dec 2020,"323,141 ","Action, Romance, Sci-Fi, Supernatural",Sundays at 00:30 (JST),Aniplex of America,"1,225",653,7.291,https://myanimelist.net/anime/40497/Mahouka_Koukou_no_Rettousei__Raihousha-hen,"145,085"
984,Moonlight Mile 2nd Season: Touch Down,TV (14 eps),Sep 2007 - Dec 2007,"4,834 ","Adventure, Drama, Sci-Fi",Unknown,"None found, add some",10,7925,7.291,https://myanimelist.net/anime/2929/Moonlight_Mile_2nd_Season__Touch_Down,"1,717"
985,Noir,TV (26 eps),Apr 2001 - Sep 2001,"108,069 ","Action, Drama, Mystery",Fridays at 01:15 (JST),"ADV Films, Funimation",823,1785,7.291,https://myanimelist.net/anime/272/Noir,"38,262"
986,Rec,TV (9 eps),Feb 2006 - Mar 2006,"110,059 ","Comedy, Drama, Romance",Fridays at 01:55 (JST),"None found, add some",311,1756,7.291,https://myanimelist.net/anime/710/Rec,"56,631"
987,Sankarea,TV (12 eps),Apr 2012 - Jun 2012,"583,451 ","Comedy, Horror, Romance, Supernatural, Ecchi",Fridays at 01:55 (JST),Funimation,"2,564",331,7.291,https://myanimelist.net/anime/11499/Sankarea,"300,741"
988,Sekirei: Pure Engagement,TV (13 eps),Jul 2010 - Sep 2010,"232,439 ","Action, Comedy, Ecchi",Unknown,Funimation,515,924,7.291,https://myanimelist.net/anime/5277/Sekirei__Pure_Engagement,"128,509"
989,Senyuu.,TV (13 eps),Jan 2013 - Apr 2013,"113,194 ","Action, Comedy, Fantasy",Unknown,"None found, add some",604,1719,7.291,https://myanimelist.net/anime/15751/Senyuu,"51,333"
990,Strike Witches 2,TV (12 eps),Jul 2010 - Sep 2010,"81,298 ","Action, Sci-Fi, Ecchi",Thursdays at 01:30 (JST),Funimation,266,2129,7.291,https://myanimelist.net/anime/6381/Strike_Witches_2,"39,255"
991,Tiger Mask,TV (105 eps),Oct 1969 - Sep 1971,"9,862 ","Drama, Sports",Unknown,"None found, add some",69,5935,7.291,https://myanimelist.net/anime/3009/Tiger_Mask,"3,836"
992,Top Secret: The Revelation,TV (26 eps),Apr 2008 - Oct 2008,"18,668 ","Mystery, Sci-Fi",Unknown,"None found, add some",71,4609,7.291,https://myanimelist.net/anime/3859/Top_Secret__The_Revelation,"4,108"
993,True Tears,TV (13 eps),Jan 2008 - Mar 2008,"210,853 ","Drama, Romance",Sundays at 01:00 (JST),"Bandai Entertainment, Discotek Media, Bandai Visual USA",894,1023,7.291,https://myanimelist.net/anime/2129/True_Tears,"98,946"
994,Wagamama☆Fairy Mirumo de Pon!,TV (172 eps),Apr 2002 - Sep 2005,"18,533 ","Adventure, Comedy, Drama, Fantasy, Romance",Unknown,VIZ Media,118,4624,7.291,https://myanimelist.net/anime/1744/Wagamama%E2%98%86Fairy_Mirumo_de_Pon,"8,229"
995,Watashi ni Tenshi ga Maiorita!,TV (12 eps),Jan 2019 - Mar 2019,"188,762 ","Comedy, Girls Love",Tuesdays at 22:00 (JST),"None found, add some",926,1128,7.291,https://myanimelist.net/anime/37993/Watashi_ni_Tenshi_ga_Maiorita,"77,102"
996,YAT Anshin! Uchuu Ryokou 2,TV (25 eps),Apr 1998 - Oct 1998,"1,228 ","Adventure, Comedy, Sci-Fi",Saturdays at 18:00 (JST),"None found, add some",6,11732,7.291,https://myanimelist.net/anime/1892/YAT_Anshin_Uchuu_Ryokou_2,534
997,Bokutachi wa Benkyou ga Dekinai,TV (13 eps),Apr 2019 - Jun 2019,"408,767 ","Comedy, Romance",Sundays at 00:30 (JST),Aniplex of America,"1,583",495,7.291,https://myanimelist.net/anime/38186/Bokutachi_wa_Benkyou_ga_Dekinai,"213,108"
998,Chrome Shelled Regios,TV (24 eps),Jan 2009 - Jun 2009,"205,787 ","Action, Adventure, Fantasy, Sci-Fi",Unknown,Funimation,"1,032",1051,7.291,https://myanimelist.net/anime/4186/Chrome_Shelled_Regios,"102,002"
999,Gakuen Utopia Manabi Straight!,TV (12 eps),Jan 2007 - Mar 2007,"30,030 ","Comedy, Slice of Life",Unknown,Discotek Media,134,3703,7.291,https://myanimelist.net/anime/1858/Gakuen_Utopia_Manabi_Straight,"10,567"
1000,Galaxy Angel 3,TV (26 eps),Oct 2002 - Mar 2003,"9,284 ","Comedy, Sci-Fi",Sundays at 09:30 (JST),"Nozomi Entertainment, Bandai Entertainment",18,6096,7.291,https://myanimelist.net/anime/653/Galaxy_Angel_3,"4,067"
1001,Gatchaman Crowds,TV (12 eps),Jul 2013 - Sep 2013,"179,480 ","Adventure, Sci-Fi",Unknown,Sentai Filmworks,"1,215",1182,7.291,https://myanimelist.net/anime/18229/Gatchaman_Crowds,"68,531"
1002,Hige wo Soru. Soshite Joshikousei wo Hirou.,TV (13 eps),Apr 2021 - Jun 2021,"554,440 ","Drama, Romance",Mondays at 22:30 (JST),"None found, add some","5,931",350,7.291,https://myanimelist.net/anime/40938/Hige_wo_Soru_Soshite_Joshikousei_wo_Hirou,"293,420"
1003,Imouto sae Ireba Ii.,TV (12 eps),Oct 2017 - Dec 2017,"316,424 ","Comedy, Romance, Ecchi",Sundays at 22:30 (JST),Funimation,"1,703",671,7.291,https://myanimelist.net/anime/35413/Imouto_sae_Ireba_Ii,"145,755"
1004,Kannagi,TV (13 eps),Oct 2008 - Dec 2008,"163,678 ","Comedy, Supernatural",Saturdays at 22:30 (JST),Bandai Entertainment,375,1294,7.291,https://myanimelist.net/anime/3958/Kannagi,"67,225"
1005,Kiba,TV (51 eps),Apr 2006 - Mar 2007,"75,949 ","Adventure, Fantasy",Unknown,"ADV Films, Sentai Filmworks",433,2230,7.291,https://myanimelist.net/anime/845/Kiba,"32,418"
1006,Air,TV (12 eps),Jan 2005 - Mar 2005,"289,308 ","Drama, Romance, Supernatural",Fridays at 00:30 (JST),"ADV Films, Funimation","2,563",744,7.281,https://myanimelist.net/anime/101/Air,"149,917"
1007,Fate/stay night,TV (24 eps),Jan 2006 - Jun 2006,"901,351 ","Action, Fantasy, Romance, Supernatural",Saturdays at 01:30 (JST),"Sentai Filmworks, Geneon Entertainment USA","7,110",157,7.281,https://myanimelist.net/anime/356/Fate_stay_night,"494,262"
1008,Hatsukoi Limited.,TV (12 eps),Apr 2009 - Jun 2009,"97,642 ","Comedy, Romance",Sundays at 00:00 (JST),Sentai Filmworks,209,1907,7.281,https://myanimelist.net/anime/5150/Hatsukoi_Limited,"39,614"
1009,High School! Kimengumi,TV (86 eps),Oct 1985 - Oct 1987,"3,727 ","Comedy, Romance",Unknown,"None found, add some",19,8653,7.281,https://myanimelist.net/anime/714/High_School_Kimengumi,"1,103"
1010,Juuni Senshi Bakuretsu Eto Ranger,TV (39 eps),Apr 1995 - Jan 1996,"2,120 ","Action, Comedy, Fantasy",Unknown,"None found, add some",15,10257,7.281,https://myanimelist.net/anime/2757/Juuni_Senshi_Bakuretsu_Eto_Ranger,697
1011,KimiKiss Pure Rouge,TV (24 eps),Oct 2007 - Mar 2008,"88,023 ","Drama, Romance",Unknown,Sentai Filmworks,291,2042,7.281,https://myanimelist.net/anime/2927/KimiKiss_Pure_Rouge,"40,207"
1012,Madou King Granzort,TV (41 eps),Apr 1989 - Mar 1990,"2,421 ","Action, Comedy, Fantasy, Sci-Fi",Unknown,"None found, add some",15,9852,7.281,https://myanimelist.net/anime/2818/Madou_King_Granzort,754
1013,Mai-Otome,TV (26 eps),Oct 2005 - Mar 2006,"49,987 ","Comedy, Drama, Fantasy",Fridays at 01:30 (JST),"Funimation, Bandai Entertainment",303,2828,7.281,https://myanimelist.net/anime/99/Mai-Otome,"24,884"
1014,Motto To LOVE-Ru,TV (12 eps),Oct 2010 - Dec 2010,"319,231 ","Comedy, Sci-Fi, Ecchi",Unknown,Sentai Filmworks,966,658,7.281,https://myanimelist.net/anime/9181/Motto_To_LOVE-Ru,"184,001"
1015,Nijiiro Days,TV (24 eps),Jan 2016 - Jun 2016,"221,824 ","Comedy, Romance",Sundays at 22:00 (JST),Funimation,694,969,7.281,https://myanimelist.net/anime/31414/Nijiiro_Days,"94,364"
1016,Rokka no Yuusha,TV (12 eps),Jul 2015 - Sep 2015,"604,623 ","Action, Adventure, Fantasy, Mystery",Sundays at 02:58 (JST),Ponycan USA,"2,562",318,7.281,https://myanimelist.net/anime/28497/Rokka_no_Yuusha,"318,888"
1017,Saber Marionette J to X,TV (26 eps),Oct 1998 - Mar 1999,"14,148 ","Action, Adventure, Comedy, Sci-Fi",Tuesdays at 18:00 (JST),Bandai Entertainment,38,5125,7.281,https://myanimelist.net/anime/1231/Saber_Marionette_J_to_X,"7,189"
1018,Shin Grimm Meisaku Gekijou,TV (23 eps),Oct 1988 - Mar 1989,"2,549 ","Adventure, Comedy, Fantasy",Unknown,"Discotek Media, Saban Entertainment",3,9705,7.281,https://myanimelist.net/anime/4061/Shin_Grimm_Meisaku_Gekijou,988
1019,Strawberry Panic,TV (26 eps),Apr 2006 - Sep 2006,"136,274 ","Drama, Girls Love, Romance",Tuesdays at 02:45 (JST),Media Blasters,"1,782",1482,7.281,https://myanimelist.net/anime/855/Strawberry_Panic,"56,318"
1020,Tales of the Abyss,TV (26 eps),Oct 2008 - Mar 2009,"120,142 ","Adventure, Drama, Fantasy",Unknown,"Funimation, Bandai Entertainment",542,1636,7.281,https://myanimelist.net/anime/4884/Tales_of_the_Abyss,"49,138"
1021,Chibi Maruko-chan (1995),TV (? eps),Jan 1995 -,"4,958 ","Comedy, Slice of Life",Sundays at 18:00 (JST),"None found, add some",40,7845,7.271,https://myanimelist.net/anime/6149/Chibi_Maruko-chan_1995,"1,583"
1022,Fuyu no Sonata,TV (26 eps),Oct 2009 - May 2010,"23,147 ","Drama, Romance",Unknown,"None found, add some",65,4194,7.271,https://myanimelist.net/anime/4189/Fuyu_no_Sonata,"5,313"
1023,Genji Tsuushin Agedama,TV (51 eps),Oct 1991 - Sep 1992,"1,582 ","Action, Comedy, Sci-Fi",Fridays at 18:00 (JST),"None found, add some",5,11053,7.271,https://myanimelist.net/anime/8215/Genji_Tsuushin_Agedama,328
1024,Hanamaru Youchien,TV (12 eps),Jan 2010 - Mar 2010,"87,954 ","Comedy, Slice of Life",Mondays at 01:30 (JST),"None found, add some",225,2044,7.271,https://myanimelist.net/anime/6574/Hanamaru_Youchien,"36,556"
1025,Kakumeiki Valvrave 2nd Season,TV (12 eps),Oct 2013 - Dec 2013,"90,817 ","Action, Sci-Fi",Unknown,Aniplex of America,199,1996,7.261,https://myanimelist.net/anime/18295/Kakumeiki_Valvrave_2nd_Season,"51,778"
1026,Kinnikuman,TV (137 eps),Apr 1983 - Oct 1986,"11,168 ","Adventure, Comedy, Sports",Unknown,"None found, add some",71,5634,7.271,https://myanimelist.net/anime/3272/Kinnikuman,"3,527"
1027,Koutetsujou no Kabaneri,TV (12 eps),Apr 2016 - Jul 2016,"765,536 ","Action, Drama, Fantasy, Horror",Fridays at 00:55 (JST),"Funimation, Crunchyroll","3,366",222,7.271,https://myanimelist.net/anime/28623/Koutetsujou_no_Kabaneri,"407,926"
1028,Legend of Basara,TV (13 eps),Apr 1998 - Jun 1998,"12,132 ","Adventure, Award Winning, Drama, Fantasy, Romance",Fridays at 00:35 (JST),"None found, add some",82,5444,7.271,https://myanimelist.net/anime/633/Legend_of_Basara,"3,785"
1029,Macross Δ,TV (26 eps),Apr 2016 - Sep 2016,"73,796 ","Action, Romance, Sci-Fi",Sundays at 22:30 (JST),Nozomi Entertainment,500,2272,7.271,https://myanimelist.net/anime/28013/Macross_%CE%94,"25,457"
1030,Mahou no Tenshi Creamy Mami,TV (52 eps),Jul 1983 - Jun 1984,"13,665 ","Comedy, Fantasy, Romance, Sci-Fi",Fridays at 18:00 (JST),"None found, add some",146,5206,7.271,https://myanimelist.net/anime/2044/Mahou_no_Tenshi_Creamy_Mami,"3,853"
1031,Mazinger Z,TV (92 eps),Dec 1972 - Sep 1974,"16,572 ","Action, Drama, Sci-Fi",Sundays at 19:00 (JST),Discotek Media,126,4837,7.271,https://myanimelist.net/anime/2253/Mazinger_Z,"6,347"
1032,Meikyuu Black Company,TV (12 eps),Jul 2021 - Sep 2021,"192,998 ","Comedy, Fantasy",Fridays at 22:30 (JST),Funimation,809,1107,7.271,https://myanimelist.net/anime/42340/Meikyuu_Black_Company,"85,646"
1033,Mnemosyne: Mnemosyne no Musume-tachi,TV (6 eps),Feb 2008 - Jul 2008,"176,886 ","Action, Girls Love, Horror, Sci-Fi, Supernatural",Unknown,Funimation,"1,095",1205,7.271,https://myanimelist.net/anime/3342/Mnemosyne__Mnemosyne_no_Musume-tachi,"70,613"
1034,Natsu no Arashi! Akinaichuu,TV (13 eps),Oct 2009 - Dec 2009,"20,085 ","Comedy, Romance, Supernatural",Unknown,"None found, add some",12,4464,7.271,https://myanimelist.net/anime/6712/Natsu_no_Arashi_Akinaichuu,"7,605"
1035,Natsuyuki Rendezvous,TV (11 eps),Jul 2012 - Sep 2012,"79,829 ","Drama, Romance, Supernatural",Fridays at 01:15 (JST),Sentai Filmworks,254,2156,7.271,https://myanimelist.net/anime/13585/Natsuyuki_Rendezvous,"32,203"
1036,Papa no Iukoto wo Kikinasai!,TV (12 eps),Jan 2012 - Mar 2012,"187,864 ","Comedy, Romance",Wednesdays at 01:30 (JST),Sentai Filmworks,618,1132,7.271,https://myanimelist.net/anime/11179/Papa_no_Iukoto_wo_Kikinasai,"98,501"
1037,Phi Brain: Kami no Puzzle - Orpheus Order-hen,TV (25 eps),Apr 2012 - Sep 2012,"47,226 ","Action, Mystery",Unknown,Sentai Filmworks,41,2911,7.271,https://myanimelist.net/anime/12753/Phi_Brain__Kami_no_Puzzle_-_Orpheus_Order-hen,"21,099"
1038,RideBack,TV (12 eps),Jan 2009 - Mar 2009,"46,476 ","Action, Drama, Sci-Fi",Mondays at 00:00 (JST),Funimation,126,2943,7.271,https://myanimelist.net/anime/4618/RideBack,"20,603"
1039,Seijo no Maryoku wa Bannou desu,TV (12 eps),Apr 2021 - Jun 2021,"160,712 ","Fantasy, Romance",Tuesdays at 23:30 (JST),Funimation,995,1318,7.271,https://myanimelist.net/anime/42826/Seijo_no_Maryoku_wa_Bannou_desu,"74,466"
1040,Shikabane Hime: Kuro,TV (12 eps),Jan 2009 - Mar 2009,"74,585 ","Action, Horror, Supernatural",Unknown,Funimation,117,2253,7.271,https://myanimelist.net/anime/5034/Shikabane_Hime__Kuro,"31,815"
1041,Solty Rei,TV (24 eps),Oct 2005 - Mar 2006,"28,820 ","Action, Sci-Fi",Fridays at 02:40 (JST),Funimation,130,3782,7.271,https://myanimelist.net/anime/152/Solty_Rei,"12,218"
1042,Sora no Otoshimono,TV (13 eps),Oct 2009 - Dec 2009,"459,168 ","Comedy, Romance, Sci-Fi, Supernatural, Ecchi",Unknown,Funimation,"3,819",434,7.271,https://myanimelist.net/anime/5958/Sora_no_Otoshimono,"239,499"
1043,Tom Sawyer no Bouken,TV (49 eps),Jan 1980 - Dec 1980,"8,324 ","Adventure, Drama, Slice of Life",Sundays at 19:30 (JST),Saban Entertainment,58,6347,7.271,https://myanimelist.net/anime/2577/Tom_Sawyer_no_Bouken,"3,590"
1044,Kyouran Kazoku Nikki,TV (26 eps),Apr 2008 - Oct 2008,"28,061 ","Comedy, Sci-Fi",Unknown,"None found, add some",110,3830,7.261,https://myanimelist.net/anime/3577/Kyouran_Kazoku_Nikki,"10,660"
1045,Matantei Loki Ragnarok,TV (26 eps),Apr 2003 - Sep 2003,"37,533 ","Comedy, Mystery, Supernatural",Unknown,"ADV Films, Sentai Filmworks",176,3305,7.261,https://myanimelist.net/anime/335/Matantei_Loki_Ragnarok,"16,106"
1046,Nabari no Ou,TV (26 eps),Apr 2008 - Sep 2008,"162,115 ","Action, Drama, Supernatural",Mondays at 01:30 (JST),Funimation,"1,230",1304,7.261,https://myanimelist.net/anime/3655/Nabari_no_Ou,"65,593"
1047,Onegai My Melody,TV (52 eps),Apr 2005 - Mar 2006,"14,151 ","Comedy, Fantasy",Sundays at 09:30 (JST),"None found, add some",175,5123,7.261,https://myanimelist.net/anime/2489/Onegai_My_Melody,"4,049"
1048,Shin Atashin'chi,TV (26 eps),Oct 2015 - Apr 2016,"3,526 ","Comedy, Slice of Life",Tuesdays at 19:00 (JST),"None found, add some",17,8794,7.261,https://myanimelist.net/anime/30649/Shin_Atashinchi,"1,490"
1049,Shin Chou Kyou Ryo: Condor Hero II,TV (26 eps),Jan 2005 - Sep 2006,"3,756 ","Adventure, Drama, Romance",Unknown,"None found, add some",1,8638,7.261,https://myanimelist.net/anime/960/Shin_Chou_Kyou_Ryo__Condor_Hero_II,"1,453"
1050,Soukyuu no Fafner: Dead Aggressor,TV (25 eps),Jul 2004 - Dec 2004,"46,322 ","Action, Drama, Sci-Fi",Unknown,"Funimation, Geneon Entertainment USA",256,2948,7.261,https://myanimelist.net/anime/75/Soukyuu_no_Fafner__Dead_Aggressor,"14,596"
1051,Tsundere Akuyaku Reijou Liselotte to Jikkyou no Endou-kun to Kaisetsu no Kobayashi-san,TV (12 eps),Jan 2023 -,"53,862 ","Comedy, Fantasy, Romance",Saturdays at 01:55 (JST),Sentai Filmworks,219,2717,7.261,https://myanimelist.net/anime/50652/Tsundere_Akuyaku_Reijou_Liselotte_to_Jikkyou_no_Endou-kun_to_Kaisetsu_no_Kobayashi-san,"6,663"
1052,Utawarerumono: Itsuwari no Kamen,TV (25 eps),Oct 2015 - Mar 2016,"107,674 ","Action, Drama, Fantasy",Sundays at 01:00 (JST),Sentai Filmworks,396,1793,7.261,https://myanimelist.net/anime/30901/Utawarerumono__Itsuwari_no_Kamen,"43,933"
1053,Angel Heart,TV (50 eps),Oct 2005 - Sep 2006,"17,070 ","Action, Drama, Mystery, Romance",Tuesdays at Unknown,"None found, add some",77,4781,7.261,https://myanimelist.net/anime/282/Angel_Heart,"5,355"
1054,Blood Lad,TV (10 eps),Jul 2013 - Sep 2013,"658,519 ","Action, Comedy, Supernatural",Mondays at 00:30 (JST),VIZ Media,"2,001",276,7.261,https://myanimelist.net/anime/11633/Blood_Lad,"347,093"
1055,Bokura ga Ita,TV (26 eps),Jul 2006 - Dec 2006,"224,415 ","Drama, Romance",Tuesdays at 02:00 (JST),"None found, add some","1,912",952,7.261,https://myanimelist.net/anime/1222/Bokura_ga_Ita,"97,641"
1056,Brigadoon: Marin to Melan,TV (26 eps),Jul 2000 - Feb 2001,"12,669 ","Adventure, Comedy, Drama, Sci-Fi",Unknown,Tokyopop,133,5363,7.261,https://myanimelist.net/anime/1450/Brigadoon__Marin_to_Melan,"3,158"
1057,Cyborg 009: The Cyborg Soldier,TV (50 eps),Oct 2001 - Aug 2003,"32,013 ","Action, Adventure, Sci-Fi",Unknown,"Sony Pictures Entertainment, Discotek Media",175,3571,7.261,https://myanimelist.net/anime/1678/Cyborg_009__The_Cyborg_Soldier,"12,061"
1058,Dragon League,TV (39 eps),May 1993 - Feb 1994,"1,822 ","Adventure, Comedy, Fantasy, Sports",Unknown,"None found, add some",12,10716,7.261,https://myanimelist.net/anime/5197/Dragon_League,632
1059,Dumbbell Nan Kilo Moteru?,TV (12 eps),Jul 2019 - Sep 2019,"363,556 ","Comedy, Ecchi",Wednesdays at 22:30 (JST),Funimation,"1,217",569,7.261,https://myanimelist.net/anime/39026/Dumbbell_Nan_Kilo_Moteru,"168,097"
1060,Gun x Sword,TV (26 eps),Jul 2005 - Dec 2005,"74,753 ","Action, Adventure, Drama, Sci-Fi",Unknown,"Funimation, Geneon Entertainment USA",333,2251,7.261,https://myanimelist.net/anime/411/Gun_x_Sword,"32,257"
1061,Hamatora The Animation,TV (12 eps),Jan 2014 - Mar 2014,"291,786 ","Action, Mystery, Supernatural",Unknown,Sentai Filmworks,"1,048",738,7.261,https://myanimelist.net/anime/20689/Hamatora_The_Animation,"125,769"
1062,Kidou Tenshi Angelic Layer,TV (26 eps),Apr 2001 - Sep 2001,"56,438 ","Award Winning, Comedy, Drama, Sci-Fi, Sports",Sundays at 17:20 (JST),"ADV Films, Sentai Filmworks",287,2656,7.261,https://myanimelist.net/anime/52/Kidou_Tenshi_Angelic_Layer,"28,231"
1063,Akuyaku Reijou nano de Last Boss wo Kattemimashita,TV (12 eps),Oct 2022 - Dec 2022,"122,481 ","Comedy, Fantasy, Romance",Saturdays at 22:30 (JST),"None found, add some",674,1606,7.251,https://myanimelist.net/anime/49979/Akuyaku_Reijou_nano_de_Last_Boss_wo_Kattemimashita,"51,072"
1064,Asura Cryin' 2,TV (13 eps),Oct 2009 - Dec 2009,"60,604 ","Action, Supernatural",Thursdays at 08:00 (JST),Maiden Japan,95,2556,7.251,https://myanimelist.net/anime/6676/Asura_Cryin_2,"31,853"
1065,Break Blade,TV (12 eps),Apr 2014 - Jun 2014,"91,402 ","Action, Fantasy",Sundays at 23:00 (JST),"None found, add some",207,1990,7.251,https://myanimelist.net/anime/22433/Break_Blade,"36,047"
1066,Cuticle Tantei Inaba,TV (12 eps),Jan 2013 - Mar 2013,"100,181 ","Action, Comedy, Mystery, Supernatural",Unknown,Sentai Filmworks,391,1864,7.251,https://myanimelist.net/anime/15109/Cuticle_Tantei_Inaba,"35,838"
1067,Damekko Doubutsu,TV (26 eps),Jan 2005 - Feb 2005,"10,813 ","Comedy, Slice of Life",Unknown,"None found, add some",51,5704,7.251,https://myanimelist.net/anime/485/Damekko_Doubutsu,"5,391"
1068,Erementar Gerad,TV (26 eps),Apr 2005 - Sep 2005,"92,849 ","Adventure, Comedy, Fantasy, Romance",Tuesdays at 18:00 (JST),"Funimation, Discotek Media, Geneon Entertainment USA",457,1970,7.251,https://myanimelist.net/anime/1250/Erementar_Gerad,"43,925"
1069,Gatchaman Crowds: Insight,TV (12 eps),Jul 2015 - Sep 2015,"72,527 ","Adventure, Sci-Fi",Sundays at 01:55 (JST),Sentai Filmworks,185,2292,7.251,https://myanimelist.net/anime/21039/Gatchaman_Crowds__Insight,"27,229"
