,anime name,anime_type,anime_aired,anime_members,anime_genres,anime_broadcast,anime_licensors,anime_favorites,anime_popularity,anime_score,link_to_anime_page,anime_scored_by
355,Musekinin Kanchou Tylor,TV (26 eps),Jan 1993 - Jul 1993,"46,263 ","Comedy, Sci-Fi",Mondays at 18:00 (JST),Nozomi Entertainment,524,2950,7.861,https://myanimelist.net/anime/569/Musekinin_Kanchou_Tylor,"15,180"
356,Sekaiichi Hatsukoi 2,TV (12 eps),Oct 2011 - Dec 2011,"151,215 ","Boys Love, Comedy, Drama, Romance",Unknown,Funimation,716,1376,7.861,https://myanimelist.net/anime/11123/Sekaiichi_Hatsukoi_2,"87,467"
357,Tensei Oujo to Tensai Reijou no Mahou Kakumei,TV (12 eps),Jan 2023 -,"95,678 ","Fantasy, Girls Love",Wednesdays at 21:00 (JST),"Crunchyroll, Muse Communication",576,1930,7.851,https://myanimelist.net/anime/52736/Tensei_Oujo_to_Tensai_Reijou_no_Mahou_Kakumei,"16,432"
358,Tiger & Bunny,TV (25 eps),Apr 2011 - Sep 2011,"218,990 ","Action, Comedy, Mystery",Sundays at 01:58 (JST),VIZ Media,"2,941",983,7.861,https://myanimelist.net/anime/9941/Tiger___Bunny,"88,166"
359,Beastars,TV (12 eps),Oct 2019 - Dec 2019,"786,600 ","Drama, Slice of Life",Thursdays at 00:55 (JST),"None found, add some","9,315",202,7.851,https://myanimelist.net/anime/39195/Beastars,"489,998"
360,Ie Naki Ko,TV (51 eps),Oct 1977 - Oct 1978,"14,425 ","Adventure, Drama, Slice of Life",Unknown,"None found, add some",259,5083,7.851,https://myanimelist.net/anime/2828/Ie_Naki_Ko,"4,550"
361,Magi: Sinbad no Bouken (TV),TV (13 eps),Apr 2016 - Jul 2016,"455,719 ","Action, Adventure, Fantasy",Saturdays at 02:25 (JST),"None found, add some","1,513",438,7.851,https://myanimelist.net/anime/31741/Magi__Sinbad_no_Bouken_TV,"246,878"
362,Paradise Kiss,TV (12 eps),Oct 2005 - Dec 2005,"208,075 ","Drama, Romance",Fridays at 00:35 (JST),Geneon Entertainment USA,"4,008",1039,7.851,https://myanimelist.net/anime/322/Paradise_Kiss,"91,396"
363,Michiko to Hatchin,TV (22 eps),Oct 2008 - Mar 2009,"189,497 ","Action, Adventure",Unknown,Funimation,"2,307",1124,7.841,https://myanimelist.net/anime/4087/Michiko_to_Hatchin,"58,375"
364,Seihou Bukyou Outlaw Star,TV (24 eps),Jan 1998 - Jun 1998,"147,796 ","Action, Adventure, Comedy, Sci-Fi",Fridays at 01:15 (JST),"Funimation, Bandai Entertainment","2,056",1396,7.841,https://myanimelist.net/anime/400/Seihou_Bukyou_Outlaw_Star,"60,920"
365,Soul Eater,TV (51 eps),Apr 2008 - Mar 2009,"1,535,897 ","Action, Comedy, Fantasy",Mondays at 18:00 (JST),Funimation,"25,497",60,7.841,https://myanimelist.net/anime/3588/Soul_Eater,"804,424"
366,Uchouten Kazoku,TV (13 eps),Jul 2013 - Sep 2013,"160,736 ","Award Winning, Comedy, Drama, Fantasy, Slice of Life",Sundays at 22:00 (JST),"NIS America, Inc.","1,464",1319,7.841,https://myanimelist.net/anime/17909/Uchouten_Kazoku,"52,294"
367,Gekkan Shoujo Nozaki-kun,TV (12 eps),Jul 2014 - Sep 2014,"880,176 ","Comedy, Romance",Mondays at 01:05 (JST),Sentai Filmworks,"10,664",167,7.841,https://myanimelist.net/anime/23289/Gekkan_Shoujo_Nozaki-kun,"482,699"
368,Heartcatch Precure!,TV (49 eps),Feb 2010 - Jan 2011,"29,655 ","Action, Comedy, Fantasy",Sundays at 08:30 (JST),"None found, add some",579,3723,7.841,https://myanimelist.net/anime/7645/Heartcatch_Precure,"11,016"
369,Id:Invaded,TV (13 eps),Jan 2020 - Mar 2020,"331,700 ","Mystery, Sci-Fi, Suspense",Mondays at 00:30 (JST),Funimation,"2,645",636,7.841,https://myanimelist.net/anime/40046/Id_Invaded,"140,234"
370,Isekai Ojisan,TV (13 eps),Jul 2022 - Mar 2023,"251,533 ","Comedy, Fantasy",Wednesdays at 22:00 (JST),"None found, add some","1,311",853,7.831,https://myanimelist.net/anime/49220/Isekai_Ojisan,"61,223"
371,91 Days,TV (12 eps),Jul 2016 - Oct 2016,"669,366 ","Action, Drama",Saturdays at 01:55 (JST),"Funimation, Crunchyroll","7,567",269,7.831,https://myanimelist.net/anime/32998/91_Days,"305,812"
372,Gungrave,TV (26 eps),Oct 2003 - Mar 2004,"180,938 ","Action, Drama, Sci-Fi",Tuesdays at 01:30 (JST),"Funimation, Geneon Entertainment USA","2,324",1175,7.831,https://myanimelist.net/anime/267/Gungrave,"66,938"
373,Hug tto! Precure,TV (49 eps),Feb 2018 - Jan 2019,"14,991 ","Action, Fantasy",Sundays at 08:30 (JST),"None found, add some",243,5009,7.831,https://myanimelist.net/anime/36593/Hug_tto_Precure,"4,590"
374,Oniisama e...,TV (39 eps),Jul 1991 - May 1992,"42,629 ","Drama, Girls Love",Sundays at Unknown,Discotek Media,943,3079,7.831,https://myanimelist.net/anime/795/Oniisama_e,"9,343"
375,Princess Connect! Re:Dive Season 2,TV (12 eps),Jan 2022 - Mar 2022,"112,290 ","Adventure, Comedy, Fantasy, Gourmet",Tuesdays at 00:00 (JST),"None found, add some",795,1730,7.831,https://myanimelist.net/anime/42670/Princess_Connect_Re_Dive_Season_2,"38,454"
376,Suzumiya Haruhi no Yuuutsu,TV (14 eps),Apr 2006 - Jul 2006,"876,712 ","Award Winning, Comedy, Mystery, Sci-Fi, Slice of Life",Mondays at 00:00 (JST),"Funimation, Bandai Entertainment, Kadokawa Pictures USA","14,788",168,7.831,https://myanimelist.net/anime/849/Suzumiya_Haruhi_no_Yuuutsu,"460,131"
377,Tasogare Otome x Amnesia,TV (12 eps),Apr 2012 - Jun 2012,"383,278 ","Horror, Mystery, Romance, Supernatural",Unknown,Sentai Filmworks,"4,410",532,7.831,https://myanimelist.net/anime/12445/Tasogare_Otome_x_Amnesia,"175,150"
378,Yuru Yuri♪♪,TV (12 eps),Jul 2012 - Sep 2012,"177,516 ","Comedy, Girls Love",Unknown,"NIS America, Inc.",933,1199,7.831,https://myanimelist.net/anime/12403/Yuru_Yuri%E2%99%AA%E2%99%AA,"98,449"
379,Yuusha-Ou GaoGaiGar,TV (49 eps),Feb 1997 - Jan 1998,"20,184 ","Action, Adventure, Sci-Fi",Saturdays at 17:00 (JST),"Media Blasters, Discotek Media",323,4449,7.831,https://myanimelist.net/anime/890/Yuusha-Ou_GaoGaiGar,"5,875"
380,Akachan to Boku,TV (35 eps),Jul 1996 - Mar 1997,"21,612 ","Comedy, Drama",Wednesdays at 18:00 (JST),"None found, add some",144,4312,7.821,https://myanimelist.net/anime/1485/Akachan_to_Boku,"8,068"
381,Beastars 2nd Season,TV (12 eps),Jan 2021 - Mar 2021,"401,085 ","Drama, Slice of Life",Thursdays at 00:55 (JST),"None found, add some","2,144",506,7.821,https://myanimelist.net/anime/40935/Beastars_2nd_Season,"200,871"
