anime name,anime_type,anime_aired,anime_members,anime_genres,anime_broadcast,anime_licensors,anime_favorites,anime_popularity,anime_score,link_to_anime_page,anime_scored_by,anime_season_aired,anime_year_aired
Senryuu Shoujo,TV (12 eps),Apr 2019 - Jun 2019,176010,"Comedy, Slice of Life",Saturdays at 01:55 (JST),Sentai Filmworks,455,1212,7.391,https://myanimelist.net/anime/38787/Senryuu_Shoujo,75444,spring,2019 
Slayers Evolution-R,TV (13 eps),Jan 2009 - Apr 2009,31327,"Adventure, Comedy, Fantasy",Mondays at 09:30 (JST),"Funimation, NYAV Post",32,3616,7.391,https://myanimelist.net/anime/5233/Slayers_Evolution-R,14929,winter,2009 
Sugar Apple Fairy Tale,TV (12 eps),Jan 2023 -,44784,"Adventure, Fantasy, Romance",Fridays at 21:30 (JST),"None found, add some",208,2994,7.391,https://myanimelist.net/anime/49980/Sugar_Apple_Fairy_Tale,6746,winter,2023 
Sunabouzu,TV (24 eps),Oct 2004 - Mar 2005,132406,"Action, Adventure, Comedy, Sci-Fi, Ecchi",Unknown,Funimation,812,1511,7.391,https://myanimelist.net/anime/25/Sunabouzu,52982,fall,2004 
Taiho Shichau zo: Second Season,TV (26 eps),Apr 2001 - Sep 2001,10310,"Action, Comedy",Unknown,Sentai Filmworks,12,5826,7.391,https://myanimelist.net/anime/2014/Taiho_Shichau_zo__Second_Season,3934,spring,2001 
Kiznaiver,TV (12 eps),Apr 2016 - Jun 2016,698802,"Drama, Romance, Sci-Fi",Saturdays at 23:30 (JST),Aniplex of America,4799,249,7.381,https://myanimelist.net/anime/31798/Kiznaiver,340240,spring,2016 
Lord El-Melloi II Sei no Jikenbo: Rail Zeppelin Grace Note,TV (13 eps),Jul 2019 - Sep 2019,142317,"Fantasy, Mystery, Supernatural",Sundays at 00:00 (JST),Aniplex of America,396,1432,7.381,https://myanimelist.net/anime/38959/Lord_El-Melloi_II_Sei_no_Jikenbo__Rail_Zeppelin_Grace_Note,58774,summer,2019 
Magical★Taruruuto-kun,TV (87 eps),Sep 1990 - May 1992,1805,"Adventure, Comedy, Fantasy, Ecchi",Sundays at 08:30 (JST),"None found, add some",13,10736,7.381,https://myanimelist.net/anime/5274/Magical%E2%98%85Taruruuto-kun,438,fall,1990 
"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou",TV (13 eps),Jul 2020 - Sep 2020,703480,"Action, Fantasy",Saturdays at 23:30 (JST),Aniplex of America,5586,246,7.381,https://myanimelist.net/anime/40496/Maou_Gakuin_no_Futekigousha__Shijou_Saikyou_no_Maou_no_Shiso_Tensei_shite_Shison-tachi_no_Gakkou_e_Kayou,414711,summer,2020 
Meitantei Holmes,TV (26 eps),Nov 1984 - May 1985,11112,"Action, Adventure, Comedy, Mystery",Unknown,"Discotek Media, Geneon Entertainment USA",68,5643,7.381,https://myanimelist.net/anime/1972/Meitantei_Holmes,3734,fall,1984 
Mikakunin de Shinkoukei,TV (12 eps),Jan 2014 - Mar 2014,376727,"Comedy, Romance",Thursdays at 02:13 (JST),Sentai Filmworks,1185,539,7.381,https://myanimelist.net/anime/20541/Mikakunin_de_Shinkoukei,175588,winter,2014 
Plawres Sanshirou,TV (37 eps),Jun 1983 - Feb 1984,3673,"Action, Adventure, Sci-Fi",Unknown,"None found, add some",20,8689,7.381,https://myanimelist.net/anime/1873/Plawres_Sanshirou,1230,fall,1983 
Saiyuuki Reload Gunlock,TV (26 eps),Apr 2004 - Sep 2004,22664,"Action, Adventure, Comedy, Drama, Supernatural",Unknown,Geneon Entertainment USA,44,4228,7.381,https://myanimelist.net/anime/131/Saiyuuki_Reload_Gunlock,8374,spring,2004 
Scrapped Princess,TV (24 eps),Apr 2003 - Oct 2003,92182,"Adventure, Comedy, Drama, Fantasy, Sci-Fi",Tuesdays at 18:00 (JST),"Funimation, Bandai Entertainment",425,1975,7.381,https://myanimelist.net/anime/167/Scrapped_Princess,37203,spring,2003 
Super GALS! Kotobuki Ran,TV (52 eps),Apr 2001 - Mar 2002,20516,"Comedy, Slice of Life",Sundays at 08:30 (JST),"ADV Films, Nozomi Entertainment",192,4414,7.381,https://myanimelist.net/anime/1728/Super_GALS_Kotobuki_Ran,7773,spring,2001 
Taishou Yakyuu Musume.,TV (12 eps),Jul 2009 - Sep 2009,20128,"Comedy, Sports",Fridays at 01:59 (JST),Sentai Filmworks,48,4457,7.381,https://myanimelist.net/anime/5141/Taishou_Yakyuu_Musume,6893,summer,2009 
Waga Seishun no Arcadia: Mugen Kidou SSX,TV (22 eps),Oct 1982 - Mar 1983,6662,"Action, Adventure, Drama, Sci-Fi",Unknown,Discotek Media,36,6941,7.381,https://myanimelist.net/anime/2203/Waga_Seishun_no_Arcadia__Mugen_Kidou_SSX,2245,fall,1982 
Comic Girls,TV (12 eps),Apr 2018 - Jun 2018,137200,"Comedy, Slice of Life",Thursdays at 23:00 (JST),"None found, add some",660,1470,7.381,https://myanimelist.net/anime/35756/Comic_Girls,57204,spring,2018 
Deca-Dence,TV (12 eps),Jul 2020 - Sep 2020,283518,"Action, Adventure, Sci-Fi",Wednesdays at 23:30 (JST),Funimation,848,757,7.381,https://myanimelist.net/anime/40056/Deca-Dence,126610,summer,2020 
Fresh Precure!,TV (50 eps),Feb 2009 - Jan 2010,15597,"Action, Comedy, Fantasy",Sundays at 08:30 (JST),"None found, add some",157,4943,7.381,https://myanimelist.net/anime/5684/Fresh_Precure,6090,fall,2009 
Hakata Tonkotsu Ramens,TV (12 eps),Jan 2018 - Mar 2018,147802,"Action, Mystery",Fridays at 22:30 (JST),Funimation,616,1395,7.381,https://myanimelist.net/anime/35889/Hakata_Tonkotsu_Ramens,59138,winter,2018 
Doraemon,TV (26 eps),Apr 1973 - Sep 1973,19958,"Adventure, Comedy, Fantasy",Sundays at 19:00 (JST),"None found, add some",128,4478,7.371,https://myanimelist.net/anime/501/Doraemon,10927,spring,1973 
Flanders no Inu,TV (52 eps),Jan 1975 - Dec 1975,7111,"Drama, Slice of Life",Sundays at 19:30 (JST),"None found, add some",29,6765,7.371,https://myanimelist.net/anime/2553/Flanders_no_Inu,1733,winter,1975 
Futatsu no Spica,TV (20 eps),Nov 2003 - Mar 2004,10102,"Drama, Sci-Fi, Supernatural",Saturdays at 09:00 (JST),"None found, add some",66,5869,7.371,https://myanimelist.net/anime/344/Futatsu_no_Spica,3733,fall,2003 
Hakuouki,TV (12 eps),Apr 2010 - Jun 2010,162969,"Action, Drama, Supernatural",Unknown,Sentai Filmworks,1905,1300,7.371,https://myanimelist.net/anime/6895/Hakuouki,67992,spring,2010 
Isekai Quartet 2,TV (12 eps),Jan 2020 - Apr 2020,219416,"Comedy, Fantasy",Wednesdays at 00:30 (JST),Funimation,248,982,7.371,https://myanimelist.net/anime/39988/Isekai_Quartet_2,130812,winter,2020 
Kamichu!,TV (12 eps),Jun 2005 - Sep 2005,59851,"Award Winning, Comedy, Drama, Slice of Life, Supernatural",Unknown,Geneon Entertainment USA,257,2572,7.371,https://myanimelist.net/anime/489/Kamichu,17696,fall,2005 
Oruchuban Ebichu,TV (24 eps),Aug 1999 - Oct 1999,49267,"Comedy, Ecchi",Unknown,"None found, add some",338,2850,7.371,https://myanimelist.net/anime/1060/Oruchuban_Ebichu,19151,fall,1999 
Pokemon,TV (276 eps),Apr 1997 - Nov 2002,595691,"Action, Adventure, Comedy, Fantasy",Thursdays at 19:00 (JST),"VIZ Media, 4Kids Entertainment",4998,324,7.371,https://myanimelist.net/anime/527/Pokemon,380279,spring,1997 
Saiyuuki Reload,TV (25 eps),Oct 2003 - Mar 2004,33720,"Action, Adventure, Comedy, Drama, Supernatural",Unknown,"Discotek Media, Geneon Entertainment USA",107,3495,7.371,https://myanimelist.net/anime/130/Saiyuuki_Reload,13128,fall,2003 
"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru",TV (12 eps),Oct 2021 - Dec 2021,451517,"Action, Drama, Fantasy, Mystery, Romance",Wednesdays at 23:00 (JST),"None found, add some",3819,440,7.371,https://myanimelist.net/anime/47790/Sekai_Saikou_no_Ansatsusha_Isekai_Kizoku_ni_Tensei_suru,243962,fall,2021 
Shigurui,TV (12 eps),Jul 2007 - Oct 2007,116597,"Action, Drama",Thursdays at 23:30 (JST),Funimation,859,1673,7.371,https://myanimelist.net/anime/2216/Shigurui,35446,summer,2007 
Sketchbook: Full Color's,TV (13 eps),Oct 2007 - Dec 2007,29021,"Comedy, Slice of Life",Tuesdays at 02:00 (JST),Nozomi Entertainment,181,3769,7.371,https://myanimelist.net/anime/2942/Sketchbook__Full_Colors,9058,fall,2007 
Soukyuu no Fafner: Dead Aggressor - Exodus,TV (13 eps),Jan 2015 - Apr 2015,21452,"Action, Drama, Sci-Fi",Fridays at 02:19 (JST),"None found, add some",74,4322,7.371,https://myanimelist.net/anime/17080/Soukyuu_no_Fafner__Dead_Aggressor_-_Exodus,7160,winter,2015 
Uchuu no Stellvia,TV (26 eps),Apr 2003 - Sep 2003,23623,"Action, Romance, Sci-Fi",Thursdays at 01:00 (JST),"Discotek Media, Geneon Entertainment USA",118,4163,7.371,https://myanimelist.net/anime/113/Uchuu_no_Stellvia,9280,spring,2003 
Yuuki Yuuna wa Yuusha de Aru,TV (12 eps),Oct 2014 - Dec 2014,147033,"Drama, Fantasy",Fridays at 02:19 (JST),"Sentai Filmworks, Ponycan USA",1294,1404,7.371,https://myanimelist.net/anime/25519/Yuuki_Yuuna_wa_Yuusha_de_Aru,54424,fall,2014 
Yuusha-Ou GaoGaiGar Final Grand Glorious Gathering,TV (12 eps),Apr 2005 - Jun 2005,3721,"Action, Sci-Fi",Unknown,Media Blasters,11,8663,7.371,https://myanimelist.net/anime/4416/Yuusha-Ou_GaoGaiGar_Final_Grand_Glorious_Gathering,1014,spring,2005 
Trigun Stampede,TV (12 eps),Jan 2023 -,87336,"Action, Adventure, Sci-Fi",Saturdays at 23:00 (JST),"None found, add some",486,2051,7.361,https://myanimelist.net/anime/52093/Trigun_Stampede,10973,winter,2023 
Zoids,TV (67 eps),Sep 1999 - Dec 2000,47804,"Action, Adventure, Comedy, Sci-Fi",Saturdays at 18:00 (JST),VIZ Media,259,2899,7.361,https://myanimelist.net/anime/763/Zoids,25025,fall,1999 
Afro Samurai,TV (5 eps),May 2007 - May 2007,352054,"Action, Adventure",Unknown,Funimation,1775,597,7.361,https://myanimelist.net/anime/1292/Afro_Samurai,190295,fall,2007 
Ao no Exorcist: Kyoto Fujouou-hen,TV (12 eps),Jan 2017 - Mar 2017,713687,"Action, Fantasy",Saturdays at 01:55 (JST),Aniplex of America,1547,241,7.361,https://myanimelist.net/anime/33506/Ao_no_Exorcist__Kyoto_Fujouou-hen,386185,winter,2017 
BNA,TV (12 eps),Apr 2020 - Jun 2020,336948,"Action, Fantasy",Thursdays at 00:55 (JST),"None found, add some",2473,629,7.361,https://myanimelist.net/anime/40060/BNA,184480,spring,2020 
Chiisana Ahiru no Ooki na Ai no Monogatari: Ahiru no Kwak,TV (52 eps),Apr 1989 - Mar 1990,5723,"Adventure, Comedy, Drama, Fantasy",Unknown,"None found, add some",55,7368,7.361,https://myanimelist.net/anime/2813/Chiisana_Ahiru_no_Ooki_na_Ai_no_Monogatari__Ahiru_no_Kwak,2988,spring,1989 
Garo: Honoo no Kokuin,TV (24 eps),Oct 2014 - Mar 2015,140170,"Action, Fantasy",Saturdays at 01:23 (JST),Funimation,437,1447,7.361,https://myanimelist.net/anime/23311/Garo__Honoo_no_Kokuin,50025,fall,2014 
Heisei Inu Monogatari Bow,TV (40 eps),Oct 1993 - Sep 1994,1250,"Adventure, Comedy",Unknown,"None found, add some",13,11680,7.361,https://myanimelist.net/anime/2749/Heisei_Inu_Monogatari_Bow,501,fall,1993 
Karakuri Zoushi Ayatsuri Sakon,TV (26 eps),Oct 1999 - Mar 2000,11362,"Horror, Mystery, Suspense",Tuesdays at 18:30 (JST),"None found, add some",55,5601,7.361,https://myanimelist.net/anime/2204/Karakuri_Zoushi_Ayatsuri_Sakon,3116,fall,1999 
Legendz: Yomigaeru Ryuuou Densetsu,TV (50 eps),Apr 2004 - Mar 2005,2995,"Action, Adventure, Comedy, Fantasy",Unknown,"None found, add some",40,9282,7.361,https://myanimelist.net/anime/1590/Legendz__Yomigaeru_Ryuuou_Densetsu,1012,spring,2004 
Pokemon XY,TV (93 eps),Oct 2013 - Oct 2015,157533,"Action, Adventure, Comedy, Fantasy",Thursdays at 19:00 (JST),The Pokemon Company International,522,1336,7.361,https://myanimelist.net/anime/19291/Pokemon_XY,98237,fall,2013 
Re:␣Hamatora,TV (12 eps),Jul 2014 - Sep 2014,163300,"Action, Mystery, Supernatural",Tuesdays at 02:05 (JST),Sentai Filmworks,407,1296,7.361,https://myanimelist.net/anime/23421/Re_%E2%90%A3Hamatora,76105,summer,2014 
Rikei ga Koi ni Ochita no de Shoumei shitemita.,TV (12 eps),Jan 2020 - Mar 2020,317908,"Comedy, Romance",Saturdays at 00:30 (JST),"None found, add some",1086,663,7.361,https://myanimelist.net/anime/38992/Rikei_ga_Koi_ni_Ochita_no_de_Shoumei_shitemita,133309,winter,2020 
s.CRY.ed,TV (26 eps),Jul 2001 - Dec 2001,80095,"Action, Adventure, Drama, Sci-Fi",Wednesdays at 18:00 (JST),"Bandai Entertainment, Sentai Filmworks, Discotek Media",648,2151,7.361,https://myanimelist.net/anime/168/sCRYed,37728,summer,2001 
Saber Marionette J,TV (25 eps),Oct 1996 - Mar 1997,31048,"Action, Adventure, Comedy, Drama, Romance, Sci-Fi",Tuesdays at 18:00 (JST),Bandai Entertainment,204,3638,7.361,https://myanimelist.net/anime/573/Saber_Marionette_J,13778,fall,1996 
Toaru Majutsu no Index,TV (24 eps),Oct 2008 - Mar 2009,776337,"Action, Sci-Fi",Sundays at 01:35 (JST),Funimation,5399,209,7.361,https://myanimelist.net/anime/4654/Toaru_Majutsu_no_Index,371947,fall,2008 
Kore wa Zombie desu ka?,TV (12 eps),Jan 2011 - Mar 2011,604722,"Action, Comedy, Supernatural, Ecchi",Unknown,Funimation,3097,317,7.351,https://myanimelist.net/anime/8841/Kore_wa_Zombie_desu_ka,333827,winter,2011 
Nami yo Kiitekure,TV (12 eps),Apr 2020 - Jun 2020,80400,"Comedy, Drama",Saturdays at 02:25 (JST),Funimation,186,2141,7.351,https://myanimelist.net/anime/40513/Nami_yo_Kiitekure,29090,spring,2020 
Nisekoi:,TV (12 eps),Apr 2015 - Jun 2015,659566,"Comedy, Romance",Fridays at 23:30 (JST),Aniplex of America,1795,275,7.351,https://myanimelist.net/anime/27787/Nisekoi_,405886,spring,2015 
Sabage-bu!,TV (12 eps),Jul 2014 - Sep 2014,149015,"Action, Comedy",Unknown,Sentai Filmworks,533,1388,7.351,https://myanimelist.net/anime/20709/Sabage-bu,54653,summer,2014 
Tottemo! Luckyman,TV (50 eps),Apr 1994 - Mar 1995,3016,"Comedy, Sci-Fi",Thursdays at 19:00 (JST),"None found, add some",26,9258,7.351,https://myanimelist.net/anime/3672/Tottemo_Luckyman,1581,spring,1994 
Uchuusen Sagittarius,TV (77 eps),Jan 1986 - Oct 1987,1476,"Adventure, Sci-Fi",Fridays at 19:30 (JST),"None found, add some",15,11231,7.351,https://myanimelist.net/anime/3317/Uchuusen_Sagittarius,483,winter,1986 
Un-Go,TV (11 eps),Oct 2011 - Dec 2011,146347,"Mystery, Supernatural",Fridays at 00:45 (JST),Sentai Filmworks,613,1409,7.351,https://myanimelist.net/anime/10798/Un-Go,57024,fall,2011 
Aoki Hagane no Arpeggio: Ars Nova,TV (12 eps),Oct 2013 - Dec 2013,145671,"Action, Sci-Fi",Tuesdays at 02:55 (JST),"Discotek Media, Crunchyroll",924,1413,7.351,https://myanimelist.net/anime/18893/Aoki_Hagane_no_Arpeggio__Ars_Nova,67580,fall,2013 
Araburu Kisetsu no Otome-domo yo.,TV (12 eps),Jul 2019 - Sep 2019,310016,"Comedy, Drama, Romance",Saturdays at 02:25 (JST),Sentai Filmworks,1465,693,7.351,https://myanimelist.net/anime/38753/Araburu_Kisetsu_no_Otome-domo_yo,141208,summer,2019 
Bokutachi wa Benkyou ga Dekinai!,TV (13 eps),Oct 2019 - Dec 2019,277457,"Comedy, Romance",Sundays at 00:30 (JST),Aniplex of America,699,779,7.351,https://myanimelist.net/anime/40004/Bokutachi_wa_Benkyou_ga_Dekinai,157345,fall,2019 
Fuuto Tantei,TV (12 eps),Aug 2022 - Oct 2022,57220,"Action, Mystery, Supernatural",Mondays at 22:00 (JST),"None found, add some",417,2636,7.351,https://myanimelist.net/anime/48649/Fuuto_Tantei,13406,fall,2022 
Glass no Kamen,TV (23 eps),Apr 1984 - Sep 1984,8647,"Drama, Romance",Unknown,Maiden Japan,42,6264,7.351,https://myanimelist.net/anime/506/Glass_no_Kamen,2552,spring,1984 
Healer Girl,TV (12 eps),Apr 2022 - Jun 2022,27945,"Fantasy, Slice of Life",Mondays at 23:00 (JST),"None found, add some",145,3834,7.351,https://myanimelist.net/anime/48857/Healer_Girl,9414,spring,2022 
Jibaku-kun,TV (26 eps),Oct 1999 - Mar 2000,12749,"Adventure, Comedy, Fantasy",Tuesdays at 18:30 (JST),Enoki Films,61,5349,7.351,https://myanimelist.net/anime/2330/Jibaku-kun,6053,fall,1999 
Kemonozume,TV (13 eps),Aug 2006 - Nov 2006,71093,"Action, Horror, Romance, Supernatural",Sundays at 00:30 (JST),"None found, add some",444,2321,7.351,https://myanimelist.net/anime/1454/Kemonozume,18909,fall,2006 
Allison to Lillia,TV (26 eps),Apr 2008 - Oct 2008,41603,"Action, Adventure",Unknown,Sentai Filmworks,173,3134,7.341,https://myanimelist.net/anime/3549/Allison_to_Lillia,14955,spring,2008 
Bartender,TV (11 eps),Oct 2006 - Dec 2006,85837,"Drama, Gourmet",Unknown,"None found, add some",464,2071,7.341,https://myanimelist.net/anime/1589/Bartender,26238,fall,2006 
Cosmic Baton Girl Comet-san☆,TV (43 eps),Apr 2001 - Jan 2002,4211,"Adventure, Comedy, Drama, Sci-Fi",Sundays at 09:30 (JST),"None found, add some",36,8344,7.341,https://myanimelist.net/anime/2036/Cosmic_Baton_Girl_Comet-san%E2%98%86,1511,spring,2001 
