anime name,anime_type,anime_aired,anime_members,anime_genres,anime_broadcast,anime_licensors,anime_favorites,anime_popularity,anime_score,link_to_anime_page,anime_scored_by,anime_season_aired,anime_year_aired
Fushigiboshi no☆Futagohime,TV (51 eps),Apr 2005 - Mar 2006,11363,"Comedy, Fantasy",Unknown,"None found, add some",80,5600,7.341,https://myanimelist.net/anime/505/Fushigiboshi_no%E2%98%86Futagohime,4015,spring,2005 
High School DxD,TV (12 eps),Jan 2012 - Mar 2012,1343082,"Comedy, Romance, Ecchi",Fridays at 11:00 (JST),Funimation,21622,80,7.341,https://myanimelist.net/anime/11617/High_School_DxD,852042,winter,2012 
Honobono Log,TV (10 eps),Jun 2016 - Jun 2016,73677,"Romance, Slice of Life",Not scheduled once per week,"None found, add some",324,2274,7.341,https://myanimelist.net/anime/33241/Honobono_Log,32125,fall,2016 
Honoo no Toukyuuji: Dodge Danpei,TV (47 eps),Oct 1991 - Sep 1992,5021,"Comedy, Sports",Unknown,"None found, add some",29,7796,7.341,https://myanimelist.net/anime/2228/Honoo_no_Toukyuuji__Dodge_Danpei,2689,fall,1991 
Kaikan Phrase,TV (44 eps),Apr 1999 - Mar 2000,13097,"Drama, Romance",Unknown,"None found, add some",110,5297,7.341,https://myanimelist.net/anime/1021/Kaikan_Phrase,3956,spring,1999 
Kure-nai,TV (12 eps),Apr 2008 - Jun 2008,88018,"Comedy, Drama",Unknown,Sentai Filmworks,222,2043,7.341,https://myanimelist.net/anime/3358/Kure-nai,36673,spring,2008 
Rekka no Honoo,TV (42 eps),Jul 1997 - Jul 1998,63957,"Action, Adventure",Saturdays at 18:30 (JST),"VIZ Media, Discotek Media",247,2480,7.341,https://myanimelist.net/anime/238/Rekka_no_Honoo,27270,summer,1997 
Sakurada Reset,TV (24 eps),Apr 2017 - Sep 2017,139992,"Mystery, Supernatural",Wednesdays at 23:30 (JST),Sentai Filmworks,567,1449,7.341,https://myanimelist.net/anime/34102/Sakurada_Reset,40996,spring,2017 
Strike Witches: Road to Berlin,TV (12 eps),Oct 2020 - Dec 2020,24718,"Action, Sci-Fi, Ecchi",Thursdays at 01:05 (JST),Funimation,83,4067,7.341,https://myanimelist.net/anime/38005/Strike_Witches__Road_to_Berlin,6863,fall,2020 
The iDOLM@STER Cinderella Girls 2nd Season,TV (12 eps),Jul 2015 - Oct 2015,34881,"Comedy, Drama",Saturdays at 00:00 (JST),"None found, add some",142,3444,7.341,https://myanimelist.net/anime/30344/The_iDOLMSTER_Cinderella_Girls_2nd_Season,16723,summer,2015 
Yokoyama Mitsuteru Sangokushi,TV (47 eps),Oct 1991 - Sep 1992,5951,"Action, Adventure",Unknown,"None found, add some",40,7260,7.331,https://myanimelist.net/anime/970/Yokoyama_Mitsuteru_Sangokushi,2187,fall,1991 
Zero no Tsukaima: Princesses no Rondo,TV (12 eps),Jul 2008 - Sep 2008,429210,"Action, Adventure, Comedy, Fantasy, Romance, Ecchi",Mondays at 00:30 (JST),Sentai Filmworks,797,468,7.331,https://myanimelist.net/anime/3712/Zero_no_Tsukaima__Princesses_no_Rondo,262268,summer,2008 
Aa! Megami-sama! (TV),TV (24 eps),Jan 2005 - Jul 2005,153721,"Comedy, Romance, Supernatural",Unknown,"Media Blasters, NYAV Post",1090,1364,7.331,https://myanimelist.net/anime/50/Aa_Megami-sama_TV,75664,winter,2005 
Aharen-san wa Hakarenai,TV (12 eps),Apr 2022 - Jun 2022,287042,"Comedy, Romance",Saturdays at 02:25 (JST),"None found, add some",2078,751,7.331,https://myanimelist.net/anime/49520/Aharen-san_wa_Hakarenai,115955,spring,2022 
Atashin'chi,TV (330 eps),Apr 2002 - Sep 2009,4918,"Comedy, Slice of Life",Saturdays at 11:20 (JST),"None found, add some",48,7868,7.331,https://myanimelist.net/anime/3006/Atashinchi,2183,spring,2002 
Black Cat (TV),TV (23 eps),Oct 2005 - Mar 2006,261555,"Adventure, Comedy, Sci-Fi",Fridays at 01:25 (JST),Funimation,1761,824,7.331,https://myanimelist.net/anime/68/Black_Cat_TV,126138,fall,2005 
Cinderella Monogatari,TV (26 eps),Apr 1996 - Oct 1996,7635,"Adventure, Fantasy, Romance",Thursdays at 18:00 (JST),"None found, add some",51,6588,7.331,https://myanimelist.net/anime/2817/Cinderella_Monogatari,3359,spring,1996 
Danna ga Nani wo Itteiru ka Wakaranai Ken 2 Sure-me,TV (13 eps),Apr 2015 - Jun 2015,189884,"Comedy, Romance",Fridays at 01:00 (JST),"None found, add some",191,1121,7.331,https://myanimelist.net/anime/29067/Danna_ga_Nani_wo_Itteiru_ka_Wakaranai_Ken_2_Sure-me,115447,spring,2015 
Ginga Kikoutai Majestic Prince,TV (24 eps),Apr 2013 - Sep 2013,53914,"Action, Sci-Fi",Thursdays at 22:30 (JST),Sentai Filmworks,165,2718,7.331,https://myanimelist.net/anime/15863/Ginga_Kikoutai_Majestic_Prince,23276,spring,2013 
Kidou Shinseiki Gundam X,TV (39 eps),Apr 1996 - Dec 1996,34103,"Adventure, Drama, Sci-Fi",Fridays at 17:00 (JST),Nozomi Entertainment,193,3482,7.331,https://myanimelist.net/anime/92/Kidou_Shinseiki_Gundam_X,15011,spring,1996 
Minami-ke Okawari,TV (13 eps),Jan 2008 - Mar 2008,70555,"Comedy, Slice of Life",Unknown,"None found, add some",49,2334,7.331,https://myanimelist.net/anime/3225/Minami-ke_Okawari,39390,winter,2008 
Nanbaka,TV (13 eps),Oct 2016 - Dec 2016,313340,"Action, Comedy, Drama",Wednesdays at 03:00 (JST),Funimation,2048,682,7.331,https://myanimelist.net/anime/30016/Nanbaka,135979,fall,2016 
Rozen Maiden (2013),TV (13 eps),Jul 2013 - Sep 2013,75212,"Action, Comedy, Drama",Fridays at 01:58 (JST),Sentai Filmworks,228,2244,7.331,https://myanimelist.net/anime/18041/Rozen_Maiden_2013,31430,summer,2013 
Sewayaki Kitsune no Senko-san,TV (12 eps),Apr 2019 - Jun 2019,328994,"Slice of Life, Supernatural",Wednesdays at 22:30 (JST),Funimation,2117,642,7.331,https://myanimelist.net/anime/38759/Sewayaki_Kitsune_no_Senko-san,164086,spring,2019 
Love Lab,TV (13 eps),Jul 2013 - Sep 2013,194474,"Comedy, Romance",Fridays at 02:05 (JST),Sentai Filmworks,523,1102,7.321,https://myanimelist.net/anime/16353/Love_Lab,75331,summer,2013 
Ore wo Suki nano wa Omae dake ka yo,TV (12 eps),Oct 2019 - Dec 2019,423985,"Comedy, Romance",Thursdays at 00:30 (JST),Aniplex of America,2157,474,7.321,https://myanimelist.net/anime/38483/Ore_wo_Suki_nano_wa_Omae_dake_ka_yo,226467,fall,2019 
Ristorante Paradiso,TV (11 eps),Apr 2009 - Jun 2009,44497,"Drama, Gourmet, Romance",Thursdays at 02:08 (JST),Nozomi Entertainment,170,3017,7.321,https://myanimelist.net/anime/5984/Ristorante_Paradiso,13342,spring,2009 
Robotics;Notes,TV (22 eps),Oct 2012 - Mar 2013,173086,"Drama, Mystery, Sci-Fi",Fridays at 01:15 (JST),Funimation,571,1234,7.321,https://myanimelist.net/anime/13599/Robotics_Notes,73767,fall,2012 
