,anime name,anime_type,anime_aired,anime_members,anime_genres,anime_broadcast,anime_licensors,anime_favorites,anime_popularity,anime_score,link_to_anime_page
53,Fate/stay night Movie: Heaven's Feel - III. Spring Song,Movie (1 eps),Aug 2020 - Aug 2020,"309,033 members","['Genres: Action, Fantasy, Supernatural']",[],['Licensors: Aniplex of America'],"['Favorites: 7,492']",['Popularity: #695'],"['Score: 8.691 (scored by 160,219 users)']",https://myanimelist.net/anime/33050/Fate_stay_night_Movie__Heavens_Feel_-_III_Spring_Song
54,Great Teacher Onizuka,TV (43 eps),Jun 1999 - Sep 2000,"769,941 members","['Genres: Comedy, Drama']",['Broadcast: Wednesdays at 19:30 (JST)'],"['Licensors: Discotek Media, Tokyopop']","['Favorites: 24,711']",['Popularity: #217'],"['Score: 8.691 (scored by 379,654 users)']",https://myanimelist.net/anime/245/Great_Teacher_Onizuka
55,Made in Abyss: Retsujitsu no Ougonkyou,TV (12 eps),Jul 2022 - Sep 2022,"347,907 members","['Genres: Adventure, Drama, Fantasy, Mystery, Sci-Fi']",['Broadcast: Wednesdays at 22:30 (JST)'],['Licensors: Sentai Filmworks'],"['Favorites: 4,591']",['Popularity: #603'],"['Score: 8.681 (scored by 131,503 users)']",https://myanimelist.net/anime/41084/Made_in_Abyss__Retsujitsu_no_Ougonkyou
56,One Piece,TV (? eps),Oct 1999 -,"2,091,743 members","['Genres: Action, Adventure, Fantasy']",['Broadcast: Sundays at 09:30 (JST)'],"['Licensors: Funimation, 4Kids Entertainment']","['Favorites: 189,863']",['Popularity: #21'],"['Score: 8.681 (scored by 1,179,666 users)']",https://myanimelist.net/anime/21/One_Piece
57,Made in Abyss,TV (13 eps),Jul 2017 - Sep 2017,"1,250,317 members","['Genres: Adventure, Drama, Fantasy, Mystery, Sci-Fi']",['Broadcast: Fridays at 21:30 (JST)'],['Licensors: Sentai Filmworks'],"['Favorites: 40,685']",['Popularity: #92'],"['Score: 8.671 (scored by 674,239 users)']",https://myanimelist.net/anime/34599/Made_in_Abyss
58,Mononoke Hime,Movie (1 eps),Jul 1997 - Jul 1997,"1,160,730 members","['Genres: Action, Adventure, Award Winning, Fantasy']",[],['Licensors: GKIDS'],"['Favorites: 20,091']",['Popularity: #105'],"['Score: 8.671 (scored by 750,004 users)']",https://myanimelist.net/anime/164/Mononoke_Hime
59,Spy x Family,TV (12 eps),Apr 2022 - Jun 2022,"1,240,945 members","['Genres: Action, Award Winning, Comedy']",['Broadcast: Saturdays at 23:00 (JST)'],"['Licensors: None found, add some']","['Favorites: 36,794']",['Popularity: #94'],"['Score: 8.671 (scored by 738,123 users)']",https://myanimelist.net/anime/50265/Spy_x_Family
60,Violet Evergarden,TV (13 eps),Jan 2018 - Apr 2018,"1,627,122 members","['Genres: Drama, Fantasy']",['Broadcast: Thursdays at 00:00 (JST)'],['Licensors: Funimation'],"['Favorites: 56,024']",['Popularity: #51'],"['Score: 8.671 (scored by 885,864 users)']",https://myanimelist.net/anime/33352/Violet_Evergarden
61,Mushishi,TV (26 eps),Oct 2005 - Jun 2006,"778,253 members","['Genres: Adventure, Fantasy, Mystery, Slice of Life, Supernatural']",['Broadcast: Sundays at 03:40 (JST)'],['Licensors: Funimation'],"['Favorites: 25,555']",['Popularity: #208'],"['Score: 8.661 (scored by 263,724 users)']",https://myanimelist.net/anime/457/Mushishi
62,Chainsaw Man,TV (12 eps),Oct 2022 - Dec 2022,"1,119,896 members","['Genres: Action, Fantasy']",['Broadcast: Wednesdays at 00:00 (JST)'],"['Licensors: None found, add some']","['Favorites: 37,098']",['Popularity: #111'],"['Score: 8.661 (scored by 501,847 users)']",https://myanimelist.net/anime/44511/Chainsaw_Man
63,Hajime no Ippo: New Challenger,TV (26 eps),Jan 2009 - Jul 2009,"259,188 members",[],['Broadcast: Wednesdays at 01:29 (JST)'],"['Licensors: None found, add some']","['Favorites: 1,662']",['Popularity: #828'],"['Score: 8.661 (scored by 151,706 users)']",https://myanimelist.net/anime/5258/Hajime_no_Ippo__New_Challenger
64,Howl no Ugoku Shiro,Movie (1 eps),Nov 2004 - Nov 2004,"1,213,570 members","['Genres: Adventure, Award Winning, Drama, Fantasy, Romance']",[],['Licensors: Disney Platform Distribution'],"['Favorites: 25,815']",['Popularity: #95'],"['Score: 8.661 (scored by 838,693 users)']",https://myanimelist.net/anime/431/Howl_no_Ugoku_Shiro
65,Jujutsu Kaisen,TV (24 eps),Oct 2020 - Mar 2021,"2,143,943 members","['Genres: Action, Award Winning, Fantasy']",['Broadcast: Saturdays at 01:25 (JST)'],['Licensors: VIZ Media'],"['Favorites: 78,442']",['Popularity: #17'],"['Score: 8.651 (scored by 1,387,005 users)']",https://myanimelist.net/anime/40748/Jujutsu_Kaisen
66,Natsume Yuujinchou Shi,TV (13 eps),Jan 2012 - Mar 2012,"231,920 members","['Genres: Drama, Slice of Life, Supernatural']",['Broadcast: Tuesdays at 01:30 (JST)'],"['Licensors: NIS America, Inc.']","['Favorites: 1,928']",['Popularity: #925'],"['Score: 8.651 (scored by 102,868 users)']",https://myanimelist.net/anime/11665/Natsume_Yuujinchou_Shi
67,Shigatsu wa Kimi no Uso,TV (22 eps),Oct 2014 - Mar 2015,"2,058,841 members","['Genres: Drama, Romance']",['Broadcast: Fridays at 01:20 (JST)'],['Licensors: Aniplex of America'],"['Favorites: 82,114']",['Popularity: #23'],"['Score: 8.651 (scored by 1,258,121 users)']",https://myanimelist.net/anime/23273/Shigatsu_wa_Kimi_no_Uso
68,Haikyuu!! Second Season,TV (25 eps),Oct 2015 - Mar 2016,"1,326,891 members",[],['Broadcast: Sundays at 02:58 (JST)'],['Licensors: Sentai Filmworks'],"['Favorites: 15,377']",['Popularity: #84'],"['Score: 8.641 (scored by 877,296 users)']",https://myanimelist.net/anime/28891/Haikyuu_Second_Season
69,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,TV (12 eps),Apr 2020 - Jun 2020,"1,210,687 members",[],['Broadcast: Saturdays at 23:30 (JST)'],['Licensors: Aniplex of America'],"['Favorites: 18,498']",['Popularity: #96'],"['Score: 8.641 (scored by 771,435 users)']",https://myanimelist.net/anime/40591/Kaguya-sama_wa_Kokurasetai_Tensai-tachi_no_Renai_Zunousen
70,Kimetsu no Yaiba Movie: Mugen Ressha-hen,Movie (1 eps),Oct 2020 - Oct 2020,"1,320,483 members","['Genres: Action, Fantasy']",[],['Licensors: Aniplex of America'],"['Favorites: 12,413']",['Popularity: #86'],"['Score: 8.631 (scored by 865,792 users)']",https://myanimelist.net/anime/40456/Kimetsu_no_Yaiba_Movie__Mugen_Ressha-hen
71,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,Movie (1 eps),Jan 2020 - Jan 2020,"400,307 members","['Genres: Adventure, Drama, Fantasy, Mystery, Sci-Fi']",[],['Licensors: Sentai Filmworks'],"['Favorites: 3,185']",['Popularity: #508'],"['Score: 8.631 (scored by 210,087 users)']",https://myanimelist.net/anime/36862/Made_in_Abyss_Movie_3__Fukaki_Tamashii_no_Reimei
72,Tengen Toppa Gurren Lagann,TV (27 eps),Apr 2007 - Sep 2007,"1,518,841 members","['Genres: Action, Adventure, Award Winning, Sci-Fi']",['Broadcast: Sundays at 08:30 (JST)'],"['Licensors: ADV Films, Bandai Entertainment, Aniplex of America']","['Favorites: 74,724']",['Popularity: #64'],"['Score: 8.631 (scored by 852,758 users)']",https://myanimelist.net/anime/2001/Tengen_Toppa_Gurren_Lagann
73,Mo Dao Zu Shi: Wanjie Pian,ONA (12 eps),Aug 2021 - Oct 2021,"67,851 members","['Genres: Action, Adventure, Drama, Fantasy, Mystery']",[],"['Licensors: None found, add some']","['Favorites: 1,457']",['Popularity: #2389'],"['Score: 8.621 (scored by 20,726 users)']",https://myanimelist.net/anime/40434/Mo_Dao_Zu_Shi__Wanjie_Pian
74,Natsume Yuujinchou Roku,TV (11 eps),Apr 2017 - Jun 2017,"173,304 members","['Genres: Drama, Slice of Life, Supernatural']",['Broadcast: Wednesdays at 01:35 (JST)'],"['Licensors: None found, add some']","['Favorites: 1,021']",['Popularity: #1232'],"['Score: 8.621 (scored by 62,911 users)']",https://myanimelist.net/anime/34591/Natsume_Yuujinchou_Roku
75,Ping Pong the Animation,TV (11 eps),Apr 2014 - Jun 2014,"364,728 members","['Genres: Award Winning, Drama, Sports']",['Broadcast: Fridays at 00:50 (JST)'],['Licensors: Funimation'],"['Favorites: 14,808']",['Popularity: #567'],"['Score: 8.621 (scored by 170,379 users)']",https://myanimelist.net/anime/22135/Ping_Pong_the_Animation
76,Shingeki no Kyojin Season 3,TV (12 eps),Jul 2018 - Oct 2018,"2,136,104 members","['Genres: Action, Drama']",['Broadcast: Mondays at 00:35 (JST)'],['Licensors: Funimation'],"['Favorites: 19,307']",['Popularity: #18'],"['Score: 8.621 (scored by 1,452,990 users)']",https://myanimelist.net/anime/35760/Shingeki_no_Kyojin_Season_3
77,Cyberpunk: Edgerunners,ONA (10 eps),Sep 2022 - Sep 2022,"480,558 members","['Genres: Action, Sci-Fi']",[],"['Licensors: None found, add some']","['Favorites: 15,911']",['Popularity: #408'],"['Score: 8.621 (scored by 317,324 users)']",https://myanimelist.net/anime/42310/Cyberpunk__Edgerunners
78,Death Note,TV (37 eps),Oct 2006 - Jun 2007,"3,623,193 members","['Genres: Supernatural, Suspense']",['Broadcast: Wednesdays at 00:56 (JST)'],['Licensors: VIZ Media'],"['Favorites: 164,240']",['Popularity: #2'],"['Score: 8.621 (scored by 2,557,901 users)']",https://myanimelist.net/anime/1535/Death_Note
79,Bungou Stray Dogs 4th Season,TV (13 eps),Jan 2023 - Mar 2023,"175,587 members","['Genres: Action, Mystery, Supernatural']",['Broadcast: Wednesdays at 23:00 (JST)'],"['Licensors: None found, add some']","['Favorites: 1,658']",['Popularity: #1215'],"['Score: 8.611 (scored by 14,115 users)']",https://myanimelist.net/anime/50330/Bungou_Stray_Dogs_4th_Season
