,anime_genres,anime_broadcast,anime_licensors,anime_favorites,anime_popularity,anime_score
127,"['Genres: Adventure, Comedy, Gourmet']",['Broadcast: Unknown'],"['Licensors: None found, add some']",['Favorites: 12'],['Popularity: #10444'],['Score: 7.001 (scored by 824 users)']
128,[],[],"['Licensors: None found, add some']",['Favorites: 1'],['Popularity: #7779'],"['Score: 6.991 (scored by 2,793 users)']"
129,"['Genres: Drama, Romance, Slice of Life']",[],"['Licensors: None found, add some']",['Favorites: 9'],['Popularity: #10269'],"['Score: 6.991 (scored by 1,242 users)']"
130,[],[],"['Licensors: None found, add some']",['Favorites: 62'],['Popularity: #8044'],['Score: 6.991 (scored by 460 users)']
131,"['Genres: Action, Adventure, Sci-Fi, Supernatural']",['Broadcast: Unknown'],['Licensors: Nozomi Entertainment'],['Favorites: 24'],['Popularity: #6804'],"['Score: 6.991 (scored by 1,826 users)']"
132,"['Genres: Adventure, Sci-Fi']",[],['Licensors: Sentai Filmworks'],['Favorites: 11'],['Popularity: #4075'],"['Score: 6.991 (scored by 11,846 users)']"
133,"['Genres: Action, Drama, Sci-Fi']",[],['Licensors: Warner Bros. Pictures'],['Favorites: 194'],['Popularity: #3205'],"['Score: 6.991 (scored by 22,703 users)']"
134,[],['Broadcast: Unknown'],"['Licensors: None found, add some']",['Favorites: 3'],['Popularity: #13093'],['Score: 7.001 (scored by 165 users)']
135,"['Genres: Comedy, Romance, Sci-Fi']",['Broadcast: Saturdays at 01:15 (JST)'],['Licensors: ADV Films'],['Favorites: 14'],['Popularity: #6043'],"['Score: 6.991 (scored by 4,232 users)']"
136,"['Genres: Comedy, Romance']",['Broadcast: Fridays at 01:58 (JST)'],"['Licensors: Funimation, Crunchyroll']","['Favorites: 1,806']",['Popularity: #473'],"['Score: 6.981 (scored by 212,384 users)']"
137,"['Genres: Action, Drama, Romance, Sci-Fi']",[],"['Licensors: None found, add some']",['Favorites: 75'],['Popularity: #3477'],"['Score: 6.991 (scored by 15,298 users)']"
138,"['Genres: Comedy, Romance']",[],"['Licensors: None found, add some']",['Favorites: 142'],['Popularity: #4177'],"['Score: 6.981 (scored by 8,242 users)']"
139,"['Genres: Action, Adventure, Fantasy']",[],"['Licensors: None found, add some']",['Favorites: 11'],['Popularity: #10108'],['Score: 6.981 (scored by 820 users)']
140,"['Genres: Action, Adventure, Drama, Horror, Sci-Fi']",[],['Licensors: Manga Entertainment'],['Favorites: 35'],['Popularity: #6410'],"['Score: 6.981 (scored by 4,031 users)']"
141,"['Genres: Drama, Suspense']",['Broadcast: Sundays at 00:00 (JST)'],['Licensors: Aniplex of America'],['Favorites: 440'],['Popularity: #2646'],"['Score: 6.981 (scored by 15,737 users)']"
142,"['Genres: Comedy, Fantasy, Romance, Ecchi']",['Broadcast: Wednesdays at 00:30 (JST)'],['Licensors: Sentai Filmworks'],"['Favorites: 3,826']",['Popularity: #243'],"['Score: 6.981 (scored by 408,832 users)']"
143,"['Genres: Comedy, Drama, Romance, Slice of Life']",[],"['Licensors: VIZ Media, Sentai Filmworks']",['Favorites: 19'],['Popularity: #4730'],"['Score: 6.981 (scored by 8,577 users)']"
144,"['Genres: Comedy, Slice of Life']",['Broadcast: Unknown'],"['Licensors: None found, add some']",['Favorites: 12'],['Popularity: #9749'],"['Score: 6.981 (scored by 1,269 users)']"
145,[],['Broadcast: Sundays at 23:30 (JST)'],['Licensors: Aniplex of America'],"['Favorites: 4,400']",['Popularity: #274'],"['Score: 6.981 (scored by 375,657 users)']"
146,"['Genres: Comedy, Slice of Life']",[],"['Licensors: None found, add some']",['Favorites: 6'],['Popularity: #5852'],"['Score: 6.981 (scored by 6,365 users)']"
147,"['Genres: Drama, Slice of Life']",[],"['Licensors: None found, add some']",['Favorites: 11'],['Popularity: #8762'],"['Score: 6.981 (scored by 1,962 users)']"
148,"['Genres: Comedy, Ecchi']",['Broadcast: Unknown'],"['Licensors: None found, add some']",['Favorites: 124'],['Popularity: #3614'],"['Score: 6.981 (scored by 9,838 users)']"
149,"['Genres: Action, Drama, Sci-Fi']",[],"['Licensors: None found, add some']",['Favorites: 13'],['Popularity: #7162'],"['Score: 6.981 (scored by 3,235 users)']"
150,[],[],"['Licensors: None found, add some']",['Favorites: 2'],['Popularity: #13553'],['Score: 6.981 (scored by 393 users)']
151,"['Genres: Action, Adventure, Sci-Fi']",['Broadcast: Sundays at 19:00 (JST)'],"['Licensors: None found, add some']",['Favorites: 16'],['Popularity: #9651'],['Score: 6.981 (scored by 894 users)']
152,"['Genres: Action, Supernatural']",['Broadcast: Thursdays at 23:00 (JST)'],"['Licensors: None found, add some']",['Favorites: 667'],['Popularity: #916'],"['Score: 6.981 (scored by 105,732 users)']"
153,"['Genres: Drama, Sci-Fi']",['Broadcast: Wednesdays at 18:00 (JST)'],['Licensors: Geneon Entertainment USA'],['Favorites: 44'],['Popularity: #4997'],"['Score: 6.981 (scored by 5,160 users)']"
154,"['Genres: Action, Fantasy, Supernatural, Ecchi']",[],"['Licensors: None found, add some']",['Favorites: 183'],['Popularity: #2167'],"['Score: 6.981 (scored by 22,416 users)']"
155,[],[],"['Licensors: None found, add some']",['Favorites: 9'],['Popularity: #10300'],"['Score: 6.981 (scored by 1,079 users)']"
156,[],['Broadcast: Saturdays at 22:30 (JST)'],['Licensors: Sentai Filmworks'],['Favorites: 784'],['Popularity: #2081'],"['Score: 6.981 (scored by 35,029 users)']"
157,"['Genres: Comedy, Romance']",[],"['Licensors: Funimation, Geneon Entertainment USA']",['Favorites: 60'],['Popularity: #2958'],"['Score: 6.981 (scored by 26,429 users)']"
158,"['Genres: Drama, Romance, Sci-Fi']",['Broadcast: Saturdays at 01:55 (JST)'],['Licensors: Aniplex of America'],['Favorites: 192'],['Popularity: #1653'],"['Score: 6.981 (scored by 47,386 users)']"
159,[],['Broadcast: Wednesdays at Unknown'],['Licensors: Dentsu Entertainment USA'],['Favorites: 46'],['Popularity: #6047'],"['Score: 6.981 (scored by 4,242 users)']"
160,"['Genres: Action, Comedy, Mystery']",[],"['Licensors: None found, add some']",['Favorites: 0'],['Popularity: #8409'],"['Score: 6.981 (scored by 1,534 users)']"
161,"['Genres: Comedy, Fantasy, Ecchi']",[],"['Licensors: None found, add some']",['Favorites: 26'],['Popularity: #3197'],"['Score: 6.981 (scored by 18,756 users)']"
162,[],[],['Licensors: bilibili'],['Favorites: 25'],['Popularity: #9407'],['Score: 6.981 (scored by 499 users)']
163,"['Genres: Action, Comedy, Sci-Fi']",[],"['Licensors: None found, add some']",['Favorites: 5'],['Popularity: #7023'],['Score: 6.971 (scored by 939 users)']
164,"['Genres: Action, Comedy, Sci-Fi']",[],"['Licensors: None found, add some']",['Favorites: 5'],['Popularity: #7014'],['Score: 6.971 (scored by 923 users)']
165,"['Genres: Action, Comedy, Fantasy']",['Broadcast: Unknown'],"['Licensors: None found, add some']",['Favorites: 43'],['Popularity: #4747'],"['Score: 6.981 (scored by 7,472 users)']"
166,"['Genres: Comedy, Mystery']",[],"['Licensors: None found, add some']",['Favorites: 6'],['Popularity: #6229'],"['Score: 6.981 (scored by 1,511 users)']"
167,[],[],"['Licensors: None found, add some']",['Favorites: 9'],['Popularity: #8898'],"['Score: 6.991 (scored by 1,700 users)']"
168,[],[],"['Licensors: None found, add some']",['Favorites: 2'],['Popularity: #10977'],['Score: 6.981 (scored by 543 users)']
169,"['Genres: Adventure, Drama']",['Broadcast: Unknown'],"['Licensors: None found, add some']",['Favorites: 24'],['Popularity: #6871'],"['Score: 6.981 (scored by 3,649 users)']"
170,"['Genres: Action, Comedy, Horror, Supernatural']",['Broadcast: Fridays at 01:55 (JST)'],"['Licensors: ADV Films, Sentai Filmworks']",['Favorites: 200'],['Popularity: #2211'],"['Score: 6.981 (scored by 28,452 users)']"
171,"['Genres: Comedy, Romance']",['Broadcast: Sundays at 01:30 (JST)'],"['Licensors: None found, add some']","['Favorites: 2,103']",['Popularity: #910'],"['Score: 6.981 (scored by 77,542 users)']"
172,"['Genres: Fantasy, Slice of Life']",['Broadcast: Sundays at 23:30 (JST)'],['Licensors: Funimation'],['Favorites: 915'],['Popularity: #1185'],"['Score: 6.981 (scored by 92,913 users)']"
