,anime name,link_to_anime_page
94,Fate/Zero 2nd Season,https://myanimelist.net/anime/11741/Fate_Zero_2nd_Season
95,Fruits Basket 2nd Season,https://myanimelist.net/anime/40417/Fruits_Basket_2nd_Season
96,Karakai Jouzu no Takagi-san Movie,https://myanimelist.net/anime/49722/Karakai_Jouzu_no_Takagi-san_Movie
97,Kimi no Suizou wo Tabetai,https://myanimelist.net/anime/36098/Kimi_no_Suizou_wo_Tabetai
98,Haikyuu!! To the Top Part 2,https://myanimelist.net/anime/40776/Haikyuu_To_the_Top_Part_2
99,Kenpuu Denki Berserk,https://myanimelist.net/anime/33/Kenpuu_Denki_Berserk
100,Zoku Natsume Yuujinchou,https://myanimelist.net/anime/5300/Zoku_Natsume_Yuujinchou
101,Neon Genesis Evangelion: The End of Evangelion,https://myanimelist.net/anime/32/Neon_Genesis_Evangelion__The_End_of_Evangelion
102,Mushishi: Hihamukage,https://myanimelist.net/anime/21329/Mushishi__Hihamukage
103,Slam Dunk,https://myanimelist.net/anime/170/Slam_Dunk
104,Bakuman. 3rd Season,https://myanimelist.net/anime/12365/Bakuman_3rd_Season
105,Kara no Kyoukai Movie 5: Mujun Rasen,https://myanimelist.net/anime/4282/Kara_no_Kyoukai_Movie_5__Mujun_Rasen
106,Nana,https://myanimelist.net/anime/877/Nana
107,Perfect Blue,https://myanimelist.net/anime/437/Perfect_Blue
108,Road of Naruto,https://myanimelist.net/anime/53236/Road_of_Naruto
109,Shingeki no Kyojin,https://myanimelist.net/anime/16498/Shingeki_no_Kyojin
110,Shoujo☆Kageki Revue Starlight Movie,https://myanimelist.net/anime/40664/Shoujo%E2%98%86Kageki_Revue_Starlight_Movie
111,Sora yori mo Tooi Basho,https://myanimelist.net/anime/35839/Sora_yori_mo_Tooi_Basho
112,Steins;Gate 0,https://myanimelist.net/anime/30484/Steins_Gate_0
113,Summertime Render,https://myanimelist.net/anime/47194/Summertime_Render
114,Yuru Camp△ Season 2,https://myanimelist.net/anime/38474/Yuru_Camp%E2%96%B3_Season_2
115,Yakusoku no Neverland,https://myanimelist.net/anime/37779/Yakusoku_no_Neverland
116,Gintama Movie 1: Shinyaku Benizakura-hen,https://myanimelist.net/anime/7472/Gintama_Movie_1__Shinyaku_Benizakura-hen
117,Gintama.: Porori-hen,https://myanimelist.net/anime/35843/Gintama__Porori-hen
118,Kimetsu no Yaiba,https://myanimelist.net/anime/38000/Kimetsu_no_Yaiba
119,Koukaku Kidoutai: Stand Alone Complex 2nd GIG,https://myanimelist.net/anime/801/Koukaku_Kidoutai__Stand_Alone_Complex_2nd_GIG
120,Samurai Champloo,https://myanimelist.net/anime/205/Samurai_Champloo
121,Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,https://myanimelist.net/anime/33049/Fate_stay_night_Movie__Heavens_Feel_-_II_Lost_Butterfly
122,Hotaru no Haka,https://myanimelist.net/anime/578/Hotaru_no_Haka
123,Ansatsu Kyoushitsu 2nd Season,https://myanimelist.net/anime/30654/Ansatsu_Kyoushitsu_2nd_Season
124,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,https://myanimelist.net/anime/31933/JoJo_no_Kimyou_na_Bouken_Part_4__Diamond_wa_Kudakenai
125,Uchuu Kyoudai,https://myanimelist.net/anime/12431/Uchuu_Kyoudai
126,One Punch Man,https://myanimelist.net/anime/30276/One_Punch_Man
127,Shingeki no Kyojin Season 2,https://myanimelist.net/anime/25777/Shingeki_no_Kyojin_Season_2
128,Mob Psycho 100,https://myanimelist.net/anime/32182/Mob_Psycho_100
129,Aria the Origination,https://myanimelist.net/anime/3297/Aria_the_Origination
130,Banana Fish,https://myanimelist.net/anime/36649/Banana_Fish
131,Jujutsu Kaisen 0 Movie,https://myanimelist.net/anime/48561/Jujutsu_Kaisen_0_Movie
132,Yuru Camp△ Movie,https://myanimelist.net/anime/38475/Yuru_Camp%E2%96%B3_Movie
133,Rainbow: Nisha Rokubou no Shichinin,https://myanimelist.net/anime/6114/Rainbow__Nisha_Rokubou_no_Shichinin
134,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,https://myanimelist.net/anime/11981/Mahou_Shoujo_Madoka%E2%98%85Magica_Movie_3__Hangyaku_no_Monogatari
135,Chihayafuru 3,https://myanimelist.net/anime/37379/Chihayafuru_3
136,Fruits Basket: Prelude,https://myanimelist.net/anime/49310/Fruits_Basket__Prelude
137,Gintama: The Semi-Final,https://myanimelist.net/anime/44087/Gintama__The_Semi-Final
138,Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,https://myanimelist.net/anime/38040/Kono_Subarashii_Sekai_ni_Shukufuku_wo_Movie__Kurenai_Densetsu
139,Nichijou,https://myanimelist.net/anime/10165/Nichijou
140,Mo Dao Zu Shi,https://myanimelist.net/anime/37208/Mo_Dao_Zu_Shi
141,Owarimonogatari,https://myanimelist.net/anime/31181/Owarimonogatari
142,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,https://myanimelist.net/anime/42203/Re_Zero_kara_Hajimeru_Isekai_Seikatsu_2nd_Season_Part_2
143,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,https://myanimelist.net/anime/11577/Steins_Gate_Movie__Fuka_Ryouiki_no_D%C3%A9j%C3%A0_vu
144,Yuu☆Yuu☆Hakusho,https://myanimelist.net/anime/392/Yuu%E2%98%86Yuu%E2%98%86Hakusho
145,Zoku Owarimonogatari,https://myanimelist.net/anime/36999/Zoku_Owarimonogatari
146,Golden Kamuy 3rd Season,https://myanimelist.net/anime/40059/Golden_Kamuy_3rd_Season
147,Karakai Jouzu no Takagi-san 3,https://myanimelist.net/anime/49721/Karakai_Jouzu_no_Takagi-san_3
148,Haikyuu!!,https://myanimelist.net/anime/20583/Haikyuu
149,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,https://myanimelist.net/anime/26055/JoJo_no_Kimyou_na_Bouken_Part_3__Stardust_Crusaders_2nd_Season
150,Mushishi Zoku Shou: Odoro no Michi,https://myanimelist.net/anime/24687/Mushishi_Zoku_Shou__Odoro_no_Michi
151,Saenai Heroine no Sodatekata Fine,https://myanimelist.net/anime/36885/Saenai_Heroine_no_Sodatekata_Fine
152,Tian Guan Ci Fu Special,https://myanimelist.net/anime/44070/Tian_Guan_Ci_Fu_Special
