,anime name,link_to_anime_page,anime_type,anime_aired,anime_members
101,Neon Genesis Evangelion: The End of Evangelion,https://myanimelist.net/anime/32/Neon_Genesis_Evangelion__The_End_of_Evangelion,Movie (1 eps),Jul 1997 - Jul 1997,"852,466 members"
102,Mushishi: Hihamukage,https://myanimelist.net/anime/21329/Mushishi__Hihamukage,Special (1 eps),Jan 2014 - Jan 2014,"130,909 members"
103,Slam Dunk,https://myanimelist.net/anime/170/Slam_Dunk,TV (101 eps),Oct 1993 - Mar 1996,"274,829 members"
104,Bakuman. 3rd Season,https://myanimelist.net/anime/12365/Bakuman_3rd_Season,TV (25 eps),Oct 2012 - Mar 2013,"316,720 members"
105,Kara no Kyoukai Movie 5: Mujun Rasen,https://myanimelist.net/anime/4282/Kara_no_Kyoukai_Movie_5__Mujun_Rasen,Movie (1 eps),Aug 2008 - Aug 2008,"227,320 members"
106,Nana,https://myanimelist.net/anime/877/Nana,TV (47 eps),Apr 2006 - Mar 2007,"599,238 members"
107,Perfect Blue,https://myanimelist.net/anime/437/Perfect_Blue,Movie (1 eps),Feb 1998 - Feb 1998,"625,526 members"
108,Road of Naruto,https://myanimelist.net/anime/53236/Road_of_Naruto,ONA (1 eps),Oct 2022 - Oct 2022,"20,786 members"
109,Shingeki no Kyojin,https://myanimelist.net/anime/16498/Shingeki_no_Kyojin,TV (25 eps),Apr 2013 - Sep 2013,"3,647,540 members"
110,Shoujo☆Kageki Revue Starlight Movie,https://myanimelist.net/anime/40664/Shoujo%E2%98%86Kageki_Revue_Starlight_Movie,Movie (1 eps),Jun 2021 - Jun 2021,"14,447 members"
111,Sora yori mo Tooi Basho,https://myanimelist.net/anime/35839/Sora_yori_mo_Tooi_Basho,TV (13 eps),Jan 2018 - Mar 2018,"467,337 members"
112,Steins;Gate 0,https://myanimelist.net/anime/30484/Steins_Gate_0,TV (23 eps),Apr 2018 - Sep 2018,"809,673 members"
113,Summertime Render,https://myanimelist.net/anime/47194/Summertime_Render,TV (25 eps),Apr 2022 - Sep 2022,"381,529 members"
114,Yuru Camp△ Season 2,https://myanimelist.net/anime/38474/Yuru_Camp%E2%96%B3_Season_2,TV (13 eps),Jan 2021 - Apr 2021,"198,799 members"
115,Yakusoku no Neverland,https://myanimelist.net/anime/37779/Yakusoku_no_Neverland,TV (12 eps),Jan 2019 - Mar 2019,"1,815,291 members"
116,Gintama Movie 1: Shinyaku Benizakura-hen,https://myanimelist.net/anime/7472/Gintama_Movie_1__Shinyaku_Benizakura-hen,Movie (1 eps),Apr 2010 - Apr 2010,"153,756 members"
117,Gintama.: Porori-hen,https://myanimelist.net/anime/35843/Gintama__Porori-hen,TV (13 eps),Oct 2017 - Dec 2017,"186,254 members"
118,Kimetsu no Yaiba,https://myanimelist.net/anime/38000/Kimetsu_no_Yaiba,TV (26 eps),Apr 2019 - Sep 2019,"2,695,044 members"
119,Koukaku Kidoutai: Stand Alone Complex 2nd GIG,https://myanimelist.net/anime/801/Koukaku_Kidoutai__Stand_Alone_Complex_2nd_GIG,TV (26 eps),Jan 2004 - Jan 2005,"217,790 members"
120,Samurai Champloo,https://myanimelist.net/anime/205/Samurai_Champloo,TV (26 eps),May 2004 - Mar 2005,"1,161,337 members"
121,Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,https://myanimelist.net/anime/33049/Fate_stay_night_Movie__Heavens_Feel_-_II_Lost_Butterfly,Movie (1 eps),Jan 2019 - Jan 2019,"352,322 members"
122,Hotaru no Haka,https://myanimelist.net/anime/578/Hotaru_no_Haka,Movie (1 eps),Apr 1988 - Apr 1988,"619,286 members"
123,Ansatsu Kyoushitsu 2nd Season,https://myanimelist.net/anime/30654/Ansatsu_Kyoushitsu_2nd_Season,TV (25 eps),Jan 2016 - Jul 2016,"1,324,991 members"
124,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,https://myanimelist.net/anime/31933/JoJo_no_Kimyou_na_Bouken_Part_4__Diamond_wa_Kudakenai,TV (39 eps),Apr 2016 - Dec 2016,"1,020,751 members"
