,anime_genres,anime_broadcast,anime_licensors,anime_favorites,anime_popularity,anime_score
205,"['Genres: Romance, Sports']",[],"['Licensors: None found, add some']",['Favorites: 2'],['Popularity: #9038'],"['Score: 6.861 (scored by 1,554 users)']"
206,"['Genres: Comedy, Fantasy']",[],"['Licensors: None found, add some']",['Favorites: 12'],['Popularity: #4579'],"['Score: 6.861 (scored by 10,176 users)']"
207,[],[],"['Licensors: None found, add some']",['Favorites: 2'],['Popularity: #6331'],"['Score: 6.861 (scored by 2,907 users)']"
208,[],['Broadcast: Unknown'],"['Licensors: None found, add some']",['Favorites: 22'],['Popularity: #6668'],"['Score: 6.861 (scored by 2,182 users)']"
209,"['Genres: Comedy, Romance, Ecchi']",['Broadcast: Fridays at 01:00 (JST)'],['Licensors: Funimation'],"['Favorites: 1,535']",['Popularity: #545'],"['Score: 6.861 (scored by 212,526 users)']"
210,[],[],"['Licensors: None found, add some']",['Favorites: 1'],['Popularity: #14484'],['Score: 6.861 (scored by 122 users)']
211,"['Genres: Comedy, Drama, Slice of Life']",['Broadcast: Fridays at 02:40 (JST)'],"['Licensors: None found, add some']",['Favorites: 37'],['Popularity: #4396'],"['Score: 6.861 (scored by 6,631 users)']"
212,[],[],"['Licensors: None found, add some']",['Favorites: 2'],['Popularity: #11223'],['Score: 6.861 (scored by 716 users)']
213,"['Genres: Action, Adventure, Sci-Fi']",['Broadcast: Unknown'],"['Licensors: None found, add some']",['Favorites: 12'],['Popularity: #7184'],"['Score: 6.861 (scored by 1,985 users)']"
214,[],['Broadcast: Thursdays at 00:30 (JST)'],['Licensors: Funimation'],['Favorites: 235'],['Popularity: #1514'],"['Score: 6.861 (scored by 55,368 users)']"
215,[],[],"['Licensors: None found, add some']",['Favorites: 16'],['Popularity: #7761'],"['Score: 6.861 (scored by 1,892 users)']"
216,"['Genres: Action, Adventure, Comedy, Drama, Fantasy']",[],"['Licensors: None found, add some']",['Favorites: 4'],['Popularity: #11243'],['Score: 6.861 (scored by 487 users)']
217,"['Genres: Comedy, Drama, Romance']",['Broadcast: Unknown'],"['Licensors: None found, add some']",['Favorites: 75'],['Popularity: #3666'],"['Score: 6.861 (scored by 11,601 users)']"
218,"['Genres: Comedy, Fantasy, Horror']",['Broadcast: Sundays at 09:00 (JST)'],"['Licensors: None found, add some']",['Favorites: 11'],['Popularity: #7625'],"['Score: 6.861 (scored by 1,420 users)']"
