,anime_genres,anime_broadcast,anime_licensors,anime_favorites,anime_popularity,anime_score
47,[],[],"['Licensors: None found, add some']",['Favorites: 572'],['Popularity: #1114'],"['Score: 7.211 (scored by 97,899 users)']"
48,"['Genres: Action, Adventure, Comedy, Fantasy']",[],"['Licensors: None found, add some']",['Favorites: 6'],['Popularity: #8101'],"['Score: 7.211 (scored by 2,066 users)']"
49,[],['Broadcast: Sundays at 01:30 (JST)'],['Licensors: Funimation'],['Favorites: 813'],['Popularity: #1647'],"['Score: 7.211 (scored by 44,117 users)']"
50,"['Genres: Action, Adventure, Comedy, Drama, Supernatural']",['Broadcast: Wednesdays at 22:30 (JST)'],['Licensors: Funimation'],['Favorites: 97'],['Popularity: #3242'],"['Score: 7.211 (scored by 12,078 users)']"
51,"['Genres: Comedy, Horror, Romance, Supernatural, Ecchi']",[],"['Licensors: None found, add some']",['Favorites: 52'],['Popularity: #1803'],"['Score: 7.211 (scored by 58,582 users)']"
52,"['Genres: Comedy, Horror, Romance, Supernatural, Ecchi']",[],['Licensors: Funimation'],['Favorites: 41'],['Popularity: #2112'],"['Score: 7.211 (scored by 46,882 users)']"
53,"['Genres: Action, Drama, Suspense']",[],"['Licensors: None found, add some']",['Favorites: 255'],['Popularity: #2428'],"['Score: 7.211 (scored by 28,974 users)']"
54,"['Genres: Comedy, Fantasy']",[],"['Licensors: None found, add some']",['Favorites: 12'],['Popularity: #5521'],"['Score: 7.211 (scored by 6,803 users)']"
55,"['Genres: Comedy, Slice of Life']",[],"['Licensors: None found, add some']",['Favorites: 81'],['Popularity: #4432'],"['Score: 7.211 (scored by 9,468 users)']"
56,"['Genres: Fantasy, Supernatural']",['Broadcast: Fridays at 22:00 (JST)'],['Licensors: Funimation'],['Favorites: 868'],['Popularity: #988'],"['Score: 7.211 (scored by 90,263 users)']"
