,anime name,anime_type,anime_aired,anime_members,anime_genres,anime_broadcast,anime_licensors,anime_favorites,anime_popularity,anime_score,link_to_anime_page
53,Natsume Yuujinchou San,TV (13 eps),Jul 2011 - Sep 2011,"238,920 members","['Genres: Drama, Slice of Life, Supernatural']",['Broadcast: Tuesdays at 01:30 (JST)'],"['Licensors: NIS America, Inc.']","['Favorites: 1,347']",['Popularity: #903'],"['Score: 8.581 (scored by 111,694 users)']",https://myanimelist.net/anime/10379/Natsume_Yuujinchou_San
54,Natsume Yuujinchou Go,TV (11 eps),Oct 2016 - Dec 2016,"172,594 members","['Genres: Drama, Slice of Life, Supernatural']",['Broadcast: Wednesdays at 01:35 (JST)'],"['Licensors: None found, add some']",['Favorites: 790'],['Popularity: #1238'],"['Score: 8.571 (scored by 69,635 users)']",https://myanimelist.net/anime/32983/Natsume_Yuujinchou_Go
55,Yojouhan Shinwa Taikei,TV (11 eps),Apr 2010 - Jul 2010,"418,581 members","['Genres: Award Winning, Comedy, Mystery, Romance']",['Broadcast: Fridays at 00:45 (JST)'],['Licensors: Funimation'],"['Favorites: 17,373']",['Popularity: #483'],"['Score: 8.571 (scored by 135,545 users)']",https://myanimelist.net/anime/7785/Yojouhan_Shinwa_Taikei
56,Ousama Ranking,TV (23 eps),Oct 2021 - Mar 2022,"533,797 members","['Genres: Adventure, Fantasy']",['Broadcast: Fridays at 00:55 (JST)'],['Licensors: Funimation'],"['Favorites: 11,405']",['Popularity: #363'],"['Score: 8.561 (scored by 273,182 users)']",https://myanimelist.net/anime/40834/Ousama_Ranking
57,Fate/Zero 2nd Season,TV (12 eps),Apr 2012 - Jun 2012,"1,054,716 members","['Genres: Action, Fantasy, Supernatural']",['Broadcast: Sundays at 00:00 (JST)'],['Licensors: Aniplex of America'],"['Favorites: 19,897']",['Popularity: #127'],"['Score: 8.561 (scored by 672,225 users)']",https://myanimelist.net/anime/11741/Fate_Zero_2nd_Season
58,Fruits Basket 2nd Season,TV (25 eps),Apr 2020 - Sep 2020,"450,040 members","['Genres: Drama, Romance, Supernatural']",['Broadcast: Tuesdays at 01:30 (JST)'],['Licensors: Funimation'],"['Favorites: 5,517']",['Popularity: #443'],"['Score: 8.561 (scored by 225,653 users)']",https://myanimelist.net/anime/40417/Fruits_Basket_2nd_Season
59,Kenpuu Denki Berserk,TV (25 eps),Oct 1997 - Apr 1998,"587,082 members","['Genres: Action, Adventure, Drama, Fantasy, Horror']",['Broadcast: Wednesdays at 01:45 (JST)'],"['Licensors: Media Blasters, NYAV Post']","['Favorites: 24,411']",['Popularity: #328'],"['Score: 8.551 (scored by 312,642 users)']",https://myanimelist.net/anime/33/Kenpuu_Denki_Berserk
60,Zoku Natsume Yuujinchou,TV (13 eps),Jan 2009 - Mar 2009,"235,680 members","['Genres: Drama, Slice of Life, Supernatural']",['Broadcast: Tuesdays at 01:00 (JST)'],"['Licensors: NIS America, Inc.']","['Favorites: 1,393']",['Popularity: #912'],"['Score: 8.551 (scored by 119,071 users)']",https://myanimelist.net/anime/5300/Zoku_Natsume_Yuujinchou
61,Bakuman. 3rd Season,TV (25 eps),Oct 2012 - Mar 2013,"316,720 members","['Genres: Comedy, Drama, Romance']",['Broadcast: Unknown'],"['Licensors: None found, add some']","['Favorites: 2,919']",['Popularity: #670'],"['Score: 8.541 (scored by 186,409 users)']",https://myanimelist.net/anime/12365/Bakuman_3rd_Season
62,Nana,TV (47 eps),Apr 2006 - Mar 2007,"599,238 members","['Genres: Drama, Romance']",['Broadcast: Wednesdays at 23:25 (JST)'],"['Licensors: VIZ Media, Sentai Filmworks']","['Favorites: 26,177']",['Popularity: #322'],"['Score: 8.531 (scored by 228,238 users)']",https://myanimelist.net/anime/877/Nana
63,Shingeki no Kyojin,TV (25 eps),Apr 2013 - Sep 2013,"3,647,540 members","['Genres: Action, Award Winning, Drama, Suspense']",['Broadcast: Sundays at 01:58 (JST)'],['Licensors: Funimation'],"['Favorites: 159,703']",['Popularity: #1'],"['Score: 8.531 (scored by 2,593,615 users)']",https://myanimelist.net/anime/16498/Shingeki_no_Kyojin
64,Sora yori mo Tooi Basho,TV (13 eps),Jan 2018 - Mar 2018,"467,337 members","['Genres: Adventure, Comedy, Drama']",['Broadcast: Tuesdays at 20:30 (JST)'],"['Licensors: None found, add some']","['Favorites: 13,280']",['Popularity: #425'],"['Score: 8.531 (scored by 201,914 users)']",https://myanimelist.net/anime/35839/Sora_yori_mo_Tooi_Basho
65,Steins;Gate 0,TV (23 eps),Apr 2018 - Sep 2018,"809,673 members","['Genres: Drama, Sci-Fi, Suspense']",['Broadcast: Thursdays at 01:35 (JST)'],['Licensors: Funimation'],"['Favorites: 11,151']",['Popularity: #191'],"['Score: 8.531 (scored by 390,473 users)']",https://myanimelist.net/anime/30484/Steins_Gate_0
66,Summertime Render,TV (25 eps),Apr 2022 - Sep 2022,"381,529 members","['Genres: Mystery, Supernatural, Suspense']",['Broadcast: Fridays at 00:00 (JST)'],['Licensors: Disney Platform Distribution'],"['Favorites: 6,071']",['Popularity: #533'],"['Score: 8.531 (scored by 133,318 users)']",https://myanimelist.net/anime/47194/Summertime_Render
67,Yakusoku no Neverland,TV (12 eps),Jan 2019 - Mar 2019,"1,815,291 members","['Genres: Mystery, Sci-Fi, Suspense']",['Broadcast: Fridays at 00:55 (JST)'],['Licensors: Aniplex of America'],"['Favorites: 31,863']",['Popularity: #38'],"['Score: 8.521 (scored by 1,188,770 users)']",https://myanimelist.net/anime/37779/Yakusoku_no_Neverland
68,Gintama.: Porori-hen,TV (13 eps),Oct 2017 - Dec 2017,"186,254 members","['Genres: Action, Comedy, Sci-Fi']",['Broadcast: Mondays at 01:35 (JST)'],"['Licensors: None found, add some']",['Favorites: 866'],['Popularity: #1143'],"['Score: 8.521 (scored by 94,047 users)']",https://myanimelist.net/anime/35843/Gintama__Porori-hen
69,Kimetsu no Yaiba,TV (26 eps),Apr 2019 - Sep 2019,"2,695,044 members","['Genres: Action, Award Winning, Fantasy']",['Broadcast: Saturdays at 23:30 (JST)'],['Licensors: Aniplex of America'],"['Favorites: 85,743']",['Popularity: #7'],"['Score: 8.521 (scored by 1,863,576 users)']",https://myanimelist.net/anime/38000/Kimetsu_no_Yaiba
70,Koukaku Kidoutai: Stand Alone Complex 2nd GIG,TV (26 eps),Jan 2004 - Jan 2005,"217,790 members","['Genres: Action, Mystery, Sci-Fi']",['Broadcast: Unknown'],"['Licensors: Bandai Entertainment, Manga Entertainment']","['Favorites: 3,064']",['Popularity: #991'],"['Score: 8.521 (scored by 100,520 users)']",https://myanimelist.net/anime/801/Koukaku_Kidoutai__Stand_Alone_Complex_2nd_GIG
71,Samurai Champloo,TV (26 eps),May 2004 - Mar 2005,"1,161,337 members","['Genres: Action, Adventure, Comedy']",['Broadcast: Saturdays at 10:30 (JST)'],"['Licensors: Funimation, Geneon Entertainment USA']","['Favorites: 35,319']",['Popularity: #104'],"['Score: 8.511 (scored by 600,410 users)']",https://myanimelist.net/anime/205/Samurai_Champloo
72,Ansatsu Kyoushitsu 2nd Season,TV (25 eps),Jan 2016 - Jul 2016,"1,324,991 members","['Genres: Action, Comedy']",['Broadcast: Fridays at 01:25 (JST)'],['Licensors: Funimation'],"['Favorites: 17,134']",['Popularity: #85'],"['Score: 8.501 (scored by 824,533 users)']",https://myanimelist.net/anime/30654/Ansatsu_Kyoushitsu_2nd_Season
73,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,TV (39 eps),Apr 2016 - Dec 2016,"1,020,751 members","['Genres: Action, Adventure, Supernatural']",['Broadcast: Saturdays at 00:30 (JST)'],['Licensors: VIZ Media'],"['Favorites: 37,106']",['Popularity: #131'],"['Score: 8.501 (scored by 702,344 users)']",https://myanimelist.net/anime/31933/JoJo_no_Kimyou_na_Bouken_Part_4__Diamond_wa_Kudakenai
